activity,title,description,description_language,sector_code,sector_narrative,AGROVOC_narrative,AGROVOC_code,AGROVOC_link,AGROVOC_provenance,AGROVOC_provenance_resource
46002-P-ZM-AA0-024,Zambia -  Cashew infrastructure development project,"The development objective is to contribute to economic growth and food security. The Project objective is to contribute to the country's poverty reduction and improved household incomes through improved cashew production, processing and marketing. Enhanced household incomes will lead to improved household food security. The Project will (i) increase cashew tree productivity and production, (ii) contribute to improved household income and food security, (iii) increase foreign exchange earnings from cashew products, and (iii) improve rural employment for men, women and youths.",en,31110,Agriculture,cashews,c_9647,http://oek1.fao.org/skosmos/agrovoc/en/page/c_9647,description,
46002-P-ZM-AA0-024,,,,,,food security,c_10967,http://oek1.fao.org/skosmos/agrovoc/en/page/c_10967,description,
46002-P-ZM-AA0-024,,,,,,production possibilities,c_6207,http://oek1.fao.org/skosmos/agrovoc/en/page/c_6207,description,
46002-P-ZM-AAE-001,Zambia - Livestock Infrastructure Support Project,"The overall sector goal is to contribute to economic growth and food security. The specific Project objectives are to improve smallholder livestock production, productivity, market linkages and income of livestock farmers.",en,31163,Livestock,livestock,c_4397,http://oek1.fao.org/skosmos/agrovoc/en/page/c_4397,description,
46002-P-ZM-AAE-001,,,,,,production possibilities,c_6207,http://oek1.fao.org/skosmos/agrovoc/en/page/c_6207,description,
46002-P-ZM-AAE-001,,,,,,livestock production,c_331557,http://oek1.fao.org/skosmos/agrovoc/en/page/c_331557,description,
46002-P-UG-AAD-001,Uganda - Farm Income Enhancement and Forestry Conservation Programme - Project 2,"The project objective is to improve household incomes, food security, and climate resilience through sustainable natural resources management and agricultural enterprise development",en,31220,Forestry / Plantations,irrigation,c_3954,http://oek1.fao.org/skosmos/agrovoc/en/page/c_3954,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/FIEFOC_ESMP_Summary_final_2015.pdf
46002-P-UG-AAD-001,,,,,,soil management,c_7176,http://oek1.fao.org/skosmos/agrovoc/en/page/c_7176,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/FIEFOC_ESMP_Summary_final_2015.pdf
46002-P-UG-AAD-001,,,,,,forest conservation,c_1374158672853,http://oek1.fao.org/skosmos/agrovoc/en/page/c_1374158672853,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/FIEFOC_ESMP_Summary_final_2015.pdf
46002-P-BW-AAC-001,Botswana - The Pandamatenga Agricultural Infrastructure Development Project,"The specific objective is to increase cereal production of the 25,000 ha arable farms from the current level of 0.5 to 2.5 metric tonnes per ha for the traditional farmers; and 2 to 3.5 metric tonnes per ha for the large scale farmers",en,31140,Irrigation And Drainage,production possibilities,c_6207,http://oek1.fao.org/skosmos/agrovoc/en/page/c_6207,activity website,http://www.afdb.org/en/projects-and-operations/project-portfolio/project/p-bw-aac-001/
