"section","itemCode","HSCode","itemLabel","isGroup","groupList"
"Crops Primary",1714,,"Crops Primary > (List)",TRUE,"1714"
"Crops Primary",1717,,"Cereals,Total > (List)",TRUE,"1717"
"Crops Primary",1720,,"Roots and Tubers,Total > (List)",TRUE,"1720"
"Crops Primary",1726,,"Pulses,Total > (List)",TRUE,"1726"
"Crops Primary",1729,,"Treenuts,Total > (List)",TRUE,"1729"
"Crops Primary",1732,,"Oilcrops Primary > (List)",TRUE,"1732"
"Crops Primary",1735,,"Vegetables Primary > (List)",TRUE,"1735"
"Crops Primary",1737,,"Fruit Incl Melons > (List)",TRUE,"1737"
"Crops Primary",1738,,"Fruit Primary > (List)",TRUE,"1738"
"Crops Primary",1751,,"Jute & Jute-like Fibres > (List)",TRUE,"1751"
"Crops Primary",1753,,"Fibre Crops Primary > (List)",TRUE,"1753"
"Crops Primary",1800,,"Vegetables&Melons, Total > (List)",TRUE,"1800"
"Crops Primary",1801,,"Fruit excl Melons,Total > (List)",TRUE,"1801"
"Crops Primary",1804,,"Citrus Fruit,Total > (List)",TRUE,"1804"
"Crops Primary",1814,,"Coarse Grain, Total > (List)",TRUE,"1814"
"Crops Primary",1841,,"Oilcakes Equivalent > (List)",TRUE,"1841"
"Crops Primary",311,"1207.9ae","Kapokseed in shell",FALSE,
"Crops Primary",778,"5305.90_a","Kapok fibre",FALSE,
"Crops Primary",813,"5305.1_a","Coir",FALSE,
"Crops Primary",156,"1212.99aa","Sugar cane",FALSE,"1714"
"Crops Primary",157,"1212.91_a","Sugar beet",FALSE,"1714"
"Crops Primary",161,"1212.99ab","Sugar crops, nes",FALSE,"1714"
"Crops Primary",224,"0802.90aa","Kola nuts",FALSE,"1714"
"Crops Primary",226,"0802.90ab","Areca nuts",FALSE,"1714"
"Crops Primary",459,"0709.90cd","Chicory roots",FALSE,"1714"
"Crops Primary",636,"1214.90_a","Forage and silage, maize",FALSE,"1714"
"Crops Primary",637,"1214.90_d","Forage and silage, sorghum",FALSE,"1714"
"Crops Primary",638,"1214.90_e","Forage and silage, rye grass",FALSE,"1714"
"Crops Primary",639,"1214.90_s","Forage and silage, grasses nes",FALSE,"1714"
"Crops Primary",640,"1214.90_b","Forage and silage, clover",FALSE,"1714"
"Crops Primary",641,"1214.90_c","Forage and silage, alfalfa",FALSE,"1714"
"Crops Primary",642,"1214.90_f","Forage and silage, green oilseeds",FALSE,"1714"
"Crops Primary",643,"1214.90_g","Forage and silage, legumes",FALSE,"1714"
"Crops Primary",644,"1214.90_h","Cabbage for fodder",FALSE,"1714"
"Crops Primary",645,"1214.90_i","Pumpkins for Fodder",FALSE,"1714"
"Crops Primary",646,"1214.90_j","Turnips for fodder",FALSE,"1714"
"Crops Primary",647,"1214.90_k","Beets for fodder",FALSE,"1714"
"Crops Primary",648,"1214.90_l","Carrots for fodder",FALSE,"1714"
"Crops Primary",649,"1214.90_m","Swedes for fodder",FALSE,"1714"
"Crops Primary",651,"1214.90_n","Forage products",FALSE,"1714"
"Crops Primary",655,"1214.90_o","Vegetables and roots fodder",FALSE,"1714"
"Crops Primary",656,"0901.1_a","Coffee, green",FALSE,"1714"
"Crops Primary",661,"1801.00_a","Cocoa, beans",FALSE,"1714"
"Crops Primary",667,"902","Tea",FALSE,"1714"
"Crops Primary",671,"903","MatŽ",FALSE,"1714"
"Crops Primary",674,"0902_b","Tea nes",FALSE,"1714"
"Crops Primary",677,"1210.1","Hops",FALSE,"1714"
"Crops Primary",687,"904.11","Pepper (piper spp.)",FALSE,"1714"
"Crops Primary",689,"904.2","Chillies and peppers, dry",FALSE,"1714"
"Crops Primary",692,"905","Vanilla",FALSE,"1714"
"Crops Primary",693,"906.1","Cinnamon (canella)",FALSE,"1714"
"Crops Primary",698,"907","Cloves",FALSE,"1714"
"Crops Primary",702,"908","Nutmeg, mace and cardamoms",FALSE,"1714"
"Crops Primary",711,"909","Anise, badian, fennel, coriander",FALSE,"1714"
"Crops Primary",720,"910.1","Ginger",FALSE,"1714"
"Crops Primary",723,"0910.9aa","Spices, nes",FALSE,"1714"
"Crops Primary",748,"0709.90_d","Peppermint",FALSE,"1714"
"Crops Primary",754,"1211.9","Pyrethrum, dried",FALSE,"1714"
"Crops Primary",826,"2401_a","Tobacco, unmanufactured",FALSE,"1714"
"Crops Primary",836,"4001.10_a","Rubber, natural",FALSE,"1714"
"Crops Primary",839,"4001.3","Gums, natural",FALSE,"1714"
"Crops Primary",116,"0701_a","Potatoes",FALSE,"1714, 1720"
"Crops Primary",122,"0714.20_a","Sweet potatoes",FALSE,"1714, 1720"
"Crops Primary",125,"0714.10_a","Cassava",FALSE,"1714, 1720"
"Crops Primary",135,"0714.90_ba","Yautia (cocoyam)",FALSE,"1714, 1720"
"Crops Primary",136,"0714.90_bb","Taro (cocoyam)",FALSE,"1714, 1720"
"Crops Primary",137,"0714.90_a","Yams",FALSE,"1714, 1720"
"Crops Primary",149,"0714.90_bc","Roots and tubers, nes",FALSE,"1714, 1720"
"Crops Primary",176,"0713.3_a","Beans, dry",FALSE,"1714, 1726"
"Crops Primary",181,"713.5","Broad beans, horse beans, dry",FALSE,"1714, 1726"
"Crops Primary",187,"713.1","Peas, dry",FALSE,"1714, 1726"
"Crops Primary",191,"713.2","Chick peas",FALSE,"1714, 1726"
"Crops Primary",195,"0713.3_b","Cow peas, dry",FALSE,"1714, 1726"
"Crops Primary",197,"0713.90aa","Pigeon peas",FALSE,"1714, 1726"
"Crops Primary",201,"713.4","Lentils",FALSE,"1714, 1726"
"Crops Primary",203,"0713.90ad","Bambara beans",FALSE,"1714, 1726"
"Crops Primary",205,"0713.90ac","Vetches",FALSE,"1714, 1726"
"Crops Primary",210,"0713.90ab","Lupins",FALSE,"1714, 1726"
"Crops Primary",211,"0713.90ae","Pulses, nes",FALSE,"1714, 1726"
"Crops Primary",216,"801.21","Brazil nuts, with shell",FALSE,"1714, 1729"
"Crops Primary",217,"0801.31_a","Cashew nuts, with shell",FALSE,"1714, 1729"
"Crops Primary",220,"802.4","Chestnut",FALSE,"1714, 1729"
"Crops Primary",221,"0802.11_a","Almonds, with shell",FALSE,"1714, 1729"
"Crops Primary",222,"0802.31_a","Walnuts, with shell",FALSE,"1714, 1729"
"Crops Primary",223,"0802.50_a","Pistachios",FALSE,"1714, 1729"
"Crops Primary",225,"0802.21_a","Hazelnuts, with shell",FALSE,"1714, 1729"
"Crops Primary",234,"0802.90ac","Nuts, nes",FALSE,"1714, 1729"
"Crops Primary",260,"0709.90aa","Olives",FALSE,"1714, 1732"
"Crops Primary",263,"1207.9ah","Karite nuts (sheanuts)",FALSE,"1714, 1732"
"Crops Primary",265,"1207.30_a","Castor oil seed",FALSE,"1714, 1732"
"Crops Primary",275,"1207.9ai","Tung nuts",FALSE,"1714, 1732"
"Crops Primary",277,"1207.9aj","Jojoba seed",FALSE,"1714, 1732"
"Crops Primary",305,"1207.9ad","Tallowtree seed",FALSE,"1714, 1732"
"Crops Primary",358,"0704.90_a","Cabbages and other brassicas",FALSE,"1714, 1735"
"Crops Primary",366,"709.1","Artichokes",FALSE,"1714, 1735"
"Crops Primary",367,"709.2","Asparagus",FALSE,"1714, 1735"
"Crops Primary",372,"705","Lettuce and chicory",FALSE,"1714, 1735"
"Crops Primary",373,"709.7","Spinach",FALSE,"1714, 1735"
"Crops Primary",388,"0702.00_a","Tomatoes",FALSE,"1714, 1735"
"Crops Primary",393,"704.1","Cauliflowers and broccoli",FALSE,"1714, 1735"
"Crops Primary",394,"0709.90_b","Pumpkins, squash and gourds",FALSE,"1714, 1735"
"Crops Primary",397,"707","Cucumbers and gherkins",FALSE,"1714, 1735"
"Crops Primary",399,"709.3","Eggplants (aubergines)",FALSE,"1714, 1735"
"Crops Primary",401,"709.6","Chillies and peppers, green",FALSE,"1714, 1735"
"Crops Primary",402,"0703.10_a","Onions, shallots, green",FALSE,"1714, 1735"
"Crops Primary",403,"0703.10_b","Onions, dry",FALSE,"1714, 1735"
"Crops Primary",406,"703.2","Garlic",FALSE,"1714, 1735"
"Crops Primary",407,"703.9","Leeks, other alliaceous vegetables",FALSE,"1714, 1735"
"Crops Primary",414,"0708.20_a","Beans, green",FALSE,"1714, 1735"
"Crops Primary",417,"708.1","Peas, green",FALSE,"1714, 1735"
"Crops Primary",420,"0708.90_a","Vegetables, leguminous nes",FALSE,"1714, 1735"
"Crops Primary",423,"0708.20_b","String beans",FALSE,"1714, 1735"
"Crops Primary",426,"706.1","Carrots and turnips",FALSE,"1714, 1735"
"Crops Primary",430,"0709.90cb","Okra",FALSE,"1714, 1735"
"Crops Primary",446,"0709.90ca","Maize, green",FALSE,"1714, 1735"
"Crops Primary",449,"0709.5_a","Mushrooms and truffles",FALSE,"1714, 1735"
"Crops Primary",463,"0706.10_a","Vegetables, fresh nes",FALSE,"1714, 1735"
"Crops Primary",567,"807.11","Watermelons",FALSE,"1714, 1737, 1735"
"Crops Primary",568,"807.19","Melons, other (inc.cantaloupes)",FALSE,"1714, 1737, 1735"
"Crops Primary",461,"1212.1","Carobs",FALSE,"1714, 1737, 1738"
"Crops Primary",486,"0803.00aa","Bananas",FALSE,"1714, 1737, 1738"
"Crops Primary",489,"0803.00_b","Plantains",FALSE,"1714, 1737, 1738"
"Crops Primary",515,"0808.10_a","Apples",FALSE,"1714, 1737, 1738"
"Crops Primary",521,"0808.20_a","Pears",FALSE,"1714, 1737, 1738"
"Crops Primary",523,"0808.20_b","Quinces",FALSE,"1714, 1737, 1738"
"Crops Primary",526,"0809.10_a","Apricots",FALSE,"1714, 1737, 1738"
"Crops Primary",530,"0809.20_b","Cherries, sour",FALSE,"1714, 1737, 1738"
"Crops Primary",531,"0809.20_a","Cherries",FALSE,"1714, 1737, 1738"
"Crops Primary",534,"809.3","Peaches and nectarines",FALSE,"1714, 1737, 1738"
"Crops Primary",536,"0809.40_a","Plums and sloes",FALSE,"1714, 1737, 1738"
"Crops Primary",541,"0810.90ac","Fruit, stone nes",FALSE,"1714, 1737, 1738"
"Crops Primary",542,"0810.90ab","Fruit, pome nes",FALSE,"1714, 1737, 1738"
"Crops Primary",544,"810.1","Strawberries",FALSE,"1714, 1737, 1738"
"Crops Primary",547,"0810.20_a","Raspberries",FALSE,"1714, 1737, 1738"
"Crops Primary",549,"0810.30_b","Gooseberries",FALSE,"1714, 1737, 1738"
"Crops Primary",550,"0810.30_a","Currants",FALSE,"1714, 1737, 1738"
"Crops Primary",552,"0810.40_c","Blueberries",FALSE,"1714, 1737, 1738"
"Crops Primary",554,"0810.40_d","Cranberries",FALSE,"1714, 1737, 1738"
"Crops Primary",558,"0810.40_b","Berries nes",FALSE,"1714, 1737, 1738"
"Crops Primary",560,"0806.10_a","Grapes",FALSE,"1714, 1737, 1738"
"Crops Primary",569,"0804.20_a","Figs",FALSE,"1714, 1737, 1738"
"Crops Primary",571,"0804.50_a","Mangoes, mangosteens, guavas",FALSE,"1714, 1737, 1738"
"Crops Primary",572,"804.4","Avocados",FALSE,"1714, 1737, 1738"
"Crops Primary",574,"0804.30_a","Pineapples",FALSE,"1714, 1737, 1738"
"Crops Primary",577,"804.1","Dates",FALSE,"1714, 1737, 1738"
"Crops Primary",587,"0810.90aa","Persimmons",FALSE,"1714, 1737, 1738"
"Crops Primary",591,"0810.90ad","Cashewapple",FALSE,"1714, 1737, 1738"
"Crops Primary",592,"810.5","Kiwi fruit",FALSE,"1714, 1737, 1738"
