"groupCode","groupLabel","itemCode","itemLabel","groupURL"
1,"cereals and cereal products",15,"wheat","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",16,"flour of wheat","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",18,"macaroni","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",19,"germ of wheat","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",20,"bread","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",21,"bulgur","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",22,"pastry","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",23,"starch of wheat","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",24,"wheat gluten","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",27,"rice, paddy","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",28,"rice, husked","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",29,"rice, milled (husked)","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",31,"rice, milled","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",32,"rice, broken","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",33,"rice, gluten","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",34,"starch of rice","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",38,"flour of rice","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",41,"breakfast cereals","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",44,"barley","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",45,"pot barley","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",46,"barley, pearled","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",48,"barley flour and grits","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",49,"malt","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",50,"malt extract","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",56,"maize","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",57,"germ of maize","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",58,"flour of maize","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",63,"maize gluten","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",64,"starch of maize","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
1,"cereals and cereal products",67,"white maize","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=1"
2,"roots and tubers and derived products",116,"potatoes","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",117,"flour of potatoes","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",118,"frozen potatoes","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",119,"starch of potatoes","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",121,"tapioca of potatoes","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",122,"sweet potatoes","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",125,"cassava","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",126,"flour of cassava","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",127,"tapioca of cassava","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",128,"cassava, dried","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",129,"starch of cassava","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",135,"yautia (cocoyam)","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",136,"taro (cocoyam)","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",137,"yams","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",149,"roots and tubers nes","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
2,"roots and tubers and derived products",150,"flour of roots and tubers nes","http://www.fao.org/economic/ess/ess-standards/comm-items/en/?chapter=2"
