section,isGroup,group,itemCode,HSCode,itemLabel
Crops Primary,,,800,5304_c,Agave fibres nes
Crops Primary,,,221,0802.11_a,"Almonds, with shell"
Crops Primary,,,711,909,"Anise, badian, fennel, coriander"
Crops Primary,,,515,0808.10_a,Apples
Crops Primary,,,526,0809.10_a,Apricots
Crops Primary,,,226,0802.90ab,Areca nuts
Crops Primary,,,366,709.1,Artichokes
Crops Primary,,,367,709.2,Asparagus
Crops Primary,,,572,804.4,Avocados
Crops Primary,,,203,0713.90ad,Bambara beans
Crops Primary,,,486,0803.00aa,Bananas
Crops Primary,,,44,1003.00_a,Barley
Crops Primary,,,782,5303ab,"Bastfibres, other"
Crops Primary,,,176,0713.3_a,"Beans, dry"
Crops Primary,,,414,0708.20_a,"Beans, green"
Crops Primary,,,558,0810.40_b,Berries nes
Crops Primary,,,552,0810.40_c,Blueberries
Crops Primary,,,216,801.21,"Brazil nuts, with shell"
Crops Primary,,,181,713.5,"Broad beans, horse beans, dry"
Crops Primary,,,89,1008.90aa,Buckwheat
Crops Primary,,,358,0704.90_a,Cabbages and other brassicas
Crops Primary,,,101,1008.90ab,Canary seed
Crops Primary,,,461,1212.1,Carobs
Crops Primary,,,426,706.1,Carrots and turnips
Crops Primary,,,217,0801.31_a,"Cashew nuts, with shell"
Crops Primary,,,591,0810.90ad,Cashewapple
Crops Primary,,,125,0714.10_a,Cassava
Crops Primary,,,378,0709.90cc,Cassava leaves
Crops Primary,,,265,1207.30_a,Castor oil seed
Crops Primary,,,393,704.1,Cauliflowers and broccoli
Crops Primary,,,108,1008.90_b,"Cereals, nes"
Crops Primary,,,531,0809.20_a,Cherries
Crops Primary,,,530,0809.20_b,"Cherries, sour"
Crops Primary,,,220,802.4,Chestnut
Crops Primary,,,191,713.2,Chick peas
Crops Primary,,,459,0709.90cd,Chicory roots
Crops Primary,,,689,904.2,"Chillies and peppers, dry"
Crops Primary,,,401,709.6,"Chillies and peppers, green"
Crops Primary,,,693,906.1,Cinnamon (canella)
Crops Primary,,,698,907,Cloves
Crops Primary,,,661,1801.00_a,"Cocoa, beans"
Crops Primary,,,249,0801.19_a,Coconuts
Crops Primary,,,656,0901.1_a,"Coffee, green"
Crops Primary,,,813,5305.1_a,Coir
Crops Primary,,,767,5201.00aa,Cotton lint
Crops Primary,,,329,1207.20aa,Cottonseed
Crops Primary,,,195,0713.3_b,"Cow peas, dry"
Crops Primary,,,554,0810.40_d,Cranberries
Crops Primary,,,397,707,Cucumbers and gherkins
Crops Primary,,,550,0810.30_a,Currants
Crops Primary,,,577,804.1,Dates
Crops Primary,,,399,709.3,Eggplants (aubergines)
Crops Primary,,,821,5305.90_c,Fibre crops nes
Crops Primary,,,569,0804.20_a,Figs
Crops Primary,,,773,5301.2,Flax fibre and tow
Crops Primary,,,94,1008.90ad,Fonio
Crops Primary,,,512,0805.90_a,"Fruit, citrus nes"
Crops Primary,,,619,0810.90_d,"Fruit, fresh nes"
Crops Primary,,,542,0810.90ab,"Fruit, pome nes"
Crops Primary,,,541,0810.90ac,"Fruit, stone nes"
Crops Primary,,,603,0804.50_b,"Fruit, tropical fresh nes"
Crops Primary,,,406,703.2,Garlic
Crops Primary,,,720,910.1,Ginger
Crops Primary,,,549,0810.30_b,Gooseberries
Crops Primary,,,103,1008.90af,"Grain, mixed"
Crops Primary,,,507,0805.40_a,Grapefruit (inc. pomelos)
Crops Primary,,,560,0806.10_a,Grapes
Crops Primary,,,242,1202.10_a,"Groundnuts, with shell"
Crops Primary,,,839,4001.3,"Gums, natural"
Crops Primary,,,225,0802.21_a,"Hazelnuts, with shell"
Crops Primary,,,777,5302,Hemp tow waste
Crops Primary,,,336,1207.9ag,Hempseed
Crops Primary,,,677,1210.1,Hops
Crops Primary,,,277,1207.9aj,Jojoba seed
Crops Primary,,,780,5303aa,Jute
Crops Primary,,,778,5305.90_a,Kapok fibre
Crops Primary,,,310,1402_a,Kapok fruit
Crops Primary,,,311,1207.9ae,Kapokseed in shell
Crops Primary,,,263,1207.9ah,Karite nuts (sheanuts)
Crops Primary,,,592,810.5,Kiwi fruit
Crops Primary,,,224,0802.90aa,Kola nuts
Crops Primary,,,407,703.9,"Leeks, other alliaceous vegetables"
Crops Primary,,,497,0805.50_a,Lemons and limes
Crops Primary,,,201,713.4,Lentils
Crops Primary,,,372,705,Lettuce and chicory
Crops Primary,,,333,1204.00_a,Linseed
Crops Primary,,,210,0713.90ab,Lupins
Crops Primary,,,56,1005_a,Maize
Crops Primary,,,446,0709.90ca,"Maize, green"
Crops Primary,,,571,0804.50_a,"Mangoes, mangosteens, guavas"
Crops Primary,,,809,5305.2_a,Manila fibre (abaca)
Crops Primary,,,671,903,MatŽ
Crops Primary,,,568,807.19,"Melons, other (inc.cantaloupes)"
Crops Primary,,,299,1207.9ab,Melonseed
Crops Primary,,,79,1008.20_a,Millet
Crops Primary,,,449,0709.5_a,Mushrooms and truffles
Crops Primary,,,292,1207.5,Mustard seed
Crops Primary,,,702,908,"Nutmeg, mace and cardamoms"
Crops Primary,,,234,0802.90ac,"Nuts, nes"
Crops Primary,,,75,1004.00a,Oats
Crops Primary,,,257,1511_a,"Oil, palm"
Crops Primary,,,254,1207.10ab,"Oil, palm fruit"
Crops Primary,,,339,1207.9ak,Oilseeds nes
Crops Primary,,,430,0709.90cb,Okra
Crops Primary,,,260,0709.90aa,Olives
Crops Primary,,,403,0703.10_b,"Onions, dry"
Crops Primary,,,402,0703.10_a,"Onions, shallots, green"
Crops Primary,,,490,0805.10_a,Oranges
Crops Primary,,,256,1207.10aa,Palm kernels
Crops Primary,,,600,807.2,Papayas
Crops Primary,,,534,809.3,Peaches and nectarines
Crops Primary,,,521,0808.20_a,Pears
Crops Primary,,,187,713.1,"Peas, dry"
Crops Primary,,,417,708.1,"Peas, green"
Crops Primary,,,687,904.11,Pepper (piper spp.)
Crops Primary,,,748,0709.90_d,Peppermint
Crops Primary,,,587,0810.90aa,Persimmons
Crops Primary,,,197,0713.90aa,Pigeon peas
Crops Primary,,,574,0804.30_a,Pineapples
Crops Primary,,,223,0802.50_a,Pistachios
Crops Primary,,,489,0803.00_b,Plantains
Crops Primary,,,536,0809.40_a,Plums and sloes
Crops Primary,,,68,1904_c,Popcorn
Crops Primary,,,296,1207.9aa,Poppy seed
Crops Primary,,,116,0701_a,Potatoes
Crops Primary,,,211,0713.90ae,"Pulses, nes"
Crops Primary,,,394,0709.90_b,"Pumpkins, squash and gourds"
Crops Primary,,,754,1211.9,"Pyrethrum, dried"
Crops Primary,,,523,0808.20_b,Quinces
Crops Primary,,,92,1008.90ac,Quinoa
Crops Primary,,,788,5305.90_b,Ramie
Crops Primary,,,270,1205,Rapeseed
Crops Primary,,,547,0810.20_a,Raspberries
Crops Primary,,,27,1006.10_a,"Rice, paddy"
Crops Primary,,,149,0714.90_bc,"Roots and tubers, nes"
Crops Primary,,,836,4001.10_a,"Rubber, natural"
Crops Primary,,,71,1002.00_a,Rye
Crops Primary,,,280,1207.6,Safflower seed
Crops Primary,,,328,1207.20_b,Seed cotton
Crops Primary,,,289,1207.40_a,Sesame seed
Crops Primary,,,789,5304_b,Sisal
Crops Primary,,,83,1007.00_a,Sorghum
Crops Primary,,,236,1201.00_a,Soybeans
Crops Primary,,,723,0910.9aa,"Spices, nes"
Crops Primary,,,373,709.7,Spinach
Crops Primary,,,544,810.1,Strawberries
Crops Primary,,,423,0708.20_b,String beans
Crops Primary,,,157,1212.91_a,Sugar beet
Crops Primary,,,156,1212.99aa,Sugar cane
Crops Primary,,,161,1212.99ab,"Sugar crops, nes"
Crops Primary,,,267,1206.00_a,Sunflower seed
Crops Primary,,,122,0714.20_a,Sweet potatoes
Crops Primary,,,305,1207.9ad,Tallowtree seed
Crops Primary,,,495,0805.20_a,"Tangerines, mandarins, clementines, satsumas"
Crops Primary,,,136,0714.90_bb,Taro (cocoyam)
Crops Primary,,,667,902,Tea
Crops Primary,,,826,2401_a,"Tobacco, unmanufactured"
Crops Primary,,,388,0702.00_a,Tomatoes
Crops Primary,,,97,1008.90ae,Triticale
Crops Primary,,,275,1207.9ai,Tung nuts
Crops Primary,,,692,905,Vanilla
Crops Primary,,,463,0706.10_a,"Vegetables, fresh nes"
Crops Primary,,,420,0708.90_a,"Vegetables, leguminous nes"
Crops Primary,,,205,0713.90ac,Vetches
Crops Primary,,,222,0802.31_a,"Walnuts, with shell"
Crops Primary,,,567,807.11,Watermelons
Crops Primary,,,15,1001_a,Wheat
Crops Primary,,,137,0714.90_a,Yams
Crops Primary,,,135,0714.90_ba,Yautia (cocoyam)
Crops Primary,TRUE,,1717,1717,"Cereals,Total > (List)"
Crops Primary,TRUE,,1804,1804,"Citrus Fruit,Total > (List)"
Crops Primary,TRUE,,1814,1814,"Coarse Grain, Total > (List)"
Crops Primary,TRUE,,1714,1714,Crops Primary > (List)
Crops Primary,TRUE,,1753,1753,Fibre Crops Primary > (List)
Crops Primary,TRUE,,1801,1801,"Fruit excl Melons,Total > (List)"
Crops Primary,TRUE,,1737,1737,Fruit Incl Melons > (List)
Crops Primary,TRUE,,1738,1738,Fruit Primary > (List)
Crops Primary,TRUE,,1751,1751,Jute & Jute-like Fibres > (List)
Crops Primary,TRUE,,1841,1841,Oilcakes Equivalent > (List)
Crops Primary,TRUE,,1732,1732,Oilcrops Primary > (List)
Crops Primary,TRUE,,1726,1726,"Pulses,Total > (List)"
Crops Primary,TRUE,,1720,1720,"Roots and Tubers,Total > (List)"
Crops Primary,TRUE,,1729,1729,"Treenuts,Total > (List)"
Crops Primary,TRUE,,1735,1735,Vegetables Primary > (List)
Crops Primary,TRUE,,1800,1800,"Vegetables&Melons, Total > (List)"
Crops Primary,,1717,15,1001_a,Wheat
Crops Primary,,1717,27,1006.10_a,"Rice, paddy"
Crops Primary,,1717,44,1003.00_a,Barley
Crops Primary,,1717,56,1005_a,Maize
Crops Primary,,1717,68,1904_c,Popcorn
Crops Primary,,1717,71,1002.00_a,Rye
Crops Primary,,1717,75,1004.00a,Oats
Crops Primary,,1717,79,1008.20_a,Millet
Crops Primary,,1717,83,1007.00_a,Sorghum
Crops Primary,,1717,89,1008.90aa,Buckwheat
Crops Primary,,1717,92,1008.90ac,Quinoa
Crops Primary,,1717,94,1008.90ad,Fonio
Crops Primary,,1717,97,1008.90ae,Triticale
Crops Primary,,1717,101,1008.90ab,Canary seed
Crops Primary,,1717,103,1008.90af,"Grain, mixed"
Crops Primary,,1717,108,1008.90_b,"Cereals, nes"
Crops Primary,,1804,490,0805.10_a,Oranges
Crops Primary,,1804,495,0805.20_a,"Tangerines, mandarins, clementines, satsumas"
Crops Primary,,1804,497,0805.50_a,Lemons and limes
Crops Primary,,1804,507,0805.40_a,Grapefruit (inc. pomelos)
Crops Primary,,1804,512,0805.90_a,"Fruit, citrus nes"
Crops Primary,,1814,44,1003.00_a,Barley
Crops Primary,,1814,56,1005_a,Maize
Crops Primary,,1814,68,1904_c,Popcorn
Crops Primary,,1814,71,1002.00_a,Rye
Crops Primary,,1814,75,1004.00a,Oats
Crops Primary,,1814,79,1008.20_a,Millet
Crops Primary,,1814,83,1007.00_a,Sorghum
Crops Primary,,1814,89,1008.90aa,Buckwheat
Crops Primary,,1814,92,1008.90ac,Quinoa
Crops Primary,,1814,94,1008.90ad,Fonio
Crops Primary,,1814,97,1008.90ae,Triticale
Crops Primary,,1814,101,1008.90ab,Canary seed
Crops Primary,,1814,103,1008.90af,"Grain, mixed"
Crops Primary,,1814,108,1008.90_b,"Cereals, nes"
Crops Primary,,1714,15,1001_a,Wheat
Crops Primary,,1714,27,1006.10_a,"Rice, paddy"
Crops Primary,,1714,44,1003.00_a,Barley
Crops Primary,,1714,56,1005_a,Maize
Crops Primary,,1714,68,1904_c,Popcorn
Crops Primary,,1714,71,1002.00_a,Rye
Crops Primary,,1714,75,1004.00a,Oats
Crops Primary,,1714,79,1008.20_a,Millet
Crops Primary,,1714,83,1007.00_a,Sorghum
Crops Primary,,1714,89,1008.90aa,Buckwheat
Crops Primary,,1714,92,1008.90ac,Quinoa
Crops Primary,,1714,94,1008.90ad,Fonio
Crops Primary,,1714,97,1008.90ae,Triticale
Crops Primary,,1714,101,1008.90ab,Canary seed
Crops Primary,,1714,103,1008.90af,"Grain, mixed"
Crops Primary,,1714,108,1008.90_b,"Cereals, nes"
Crops Primary,,1714,116,0701_a,Potatoes
Crops Primary,,1714,122,0714.20_a,Sweet potatoes
Crops Primary,,1714,125,0714.10_a,Cassava
Crops Primary,,1714,135,0714.90_ba,Yautia (cocoyam)
