level,term_path,term_id,term_url,title,agrovoc
1,c_1972,c_1972,http://aims.fao.org/aos/agrovoc/c_1972,Crops,
2,c_1972>c_10836,c_10836,http://aims.fao.org/aos/agrovoc/c_10836,- Field crops,
2,c_1972>c_1187,c_1187,http://aims.fao.org/aos/agrovoc/c_1187,- Calabash crops,
2,c_1972>c_13443,c_13443,http://aims.fao.org/aos/agrovoc/c_13443,- Plantation crops,
2,c_1972>c_1359,c_1359,http://aims.fao.org/aos/agrovoc/c_1359,- Cash crops,
2,c_1972>c_14022,c_14022,http://aims.fao.org/aos/agrovoc/c_14022,- Safflower,
2,c_1972>c_15583,c_15583,http://aims.fao.org/aos/agrovoc/c_15583,- Fuel crops,
2,c_1972>c_1936,c_1936,http://aims.fao.org/aos/agrovoc/c_1936,- Cover plants,
2,c_1972>c_2393,c_2393,http://aims.fao.org/aos/agrovoc/c_2393,- Drug plants,
2,c_1972>c_2422,c_2422,http://aims.fao.org/aos/agrovoc/c_2422,- Dye plants,
2,c_1972>c_24910,c_24910,http://aims.fao.org/aos/agrovoc/c_24910,- Trap crops,
2,c_1972>c_24917,c_24917,http://aims.fao.org/aos/agrovoc/c_24917,- Winter crops,
2,c_1972>c_24918,c_24918,http://aims.fao.org/aos/agrovoc/c_24918,- Spring crops,
2,c_1972>c_25549,c_25549,http://aims.fao.org/aos/agrovoc/c_25549,- Companion crops,
2,c_1972>c_2653,c_2653,http://aims.fao.org/aos/agrovoc/c_2653,- Erosion control plants,
2,c_1972>c_2668,c_2668,http://aims.fao.org/aos/agrovoc/c_2668,- Essential oil crops,
2,c_1972>c_28009,c_28009,http://aims.fao.org/aos/agrovoc/c_28009,- Herbage crops,
2,c_1972>c_2829,c_2829,http://aims.fao.org/aos/agrovoc/c_2829,- Feed crops,
2,c_1972>c_2876,c_2876,http://aims.fao.org/aos/agrovoc/c_2876,- Fibre crops,
2,c_1972>c_29684,c_29684,http://aims.fao.org/aos/agrovoc/c_29684,- Catch crops,
2,c_1972>c_3017,c_3017,http://aims.fao.org/aos/agrovoc/c_3017,- Food crops,
2,c_1972>c_3120,c_3120,http://aims.fao.org/aos/agrovoc/c_3120,- Fruit crops,
3,c_1972>c_3120>c_3128,c_3128,http://aims.fao.org/aos/agrovoc/c_3128,- - Fruit trees,
3,c_1972>c_3120>c_3360,c_3360,http://aims.fao.org/aos/agrovoc/c_3360,- - Grapevines,
3,c_1972>c_3120>c_9237,c_9237,http://aims.fao.org/aos/agrovoc/c_9237,- - Berry crops,
2,c_1972>c_32690,c_32690,http://aims.fao.org/aos/agrovoc/c_32690,- Protein plants,
2,c_1972>c_3348,c_3348,http://aims.fao.org/aos/agrovoc/c_3348,- Grain crops,
3,c_1972>c_3348>c_25512,c_25512,http://aims.fao.org/aos/agrovoc/c_25512,- - Cereal crops,
2,c_1972>c_3377,c_3377,http://aims.fao.org/aos/agrovoc/c_3377,- Greenhouse crops,
2,c_1972>c_34134,c_34134,http://aims.fao.org/aos/agrovoc/c_34134,- Tree crops,
2,c_1972>c_34136,c_34136,http://aims.fao.org/aos/agrovoc/c_34136,- Tropical crops,
2,c_1972>c_34315,c_34315,http://aims.fao.org/aos/agrovoc/c_34315,- Mother plants,
2,c_1972>c_3439,c_3439,http://aims.fao.org/aos/agrovoc/c_3439,- Gum plants,
2,c_1972>c_3530,c_3530,http://aims.fao.org/aos/agrovoc/c_3530,- Hedging plants,
2,c_1972>c_35386,c_35386,http://aims.fao.org/aos/agrovoc/c_35386,- Autochthonous crops,
2,c_1972>c_3568,c_3568,http://aims.fao.org/aos/agrovoc/c_3568,- Culinary herbs,
