level,term_path,term_id,term_url,title,agrovoc
1,c_6195,c_6195,http://aims.fao.org/aos/agrovoc/c_6195,Processing,
2,c_6195>c_1002,c_1002,http://aims.fao.org/aos/agrovoc/c_1002,- Boning,
3,c_6195>c_1002>c_32450,c_32450,http://aims.fao.org/aos/agrovoc/c_32450,- - Fish filleting,
2,c_6195>c_1249,c_1249,http://aims.fao.org/aos/agrovoc/c_1249,- Candying,
2,c_6195>c_1260,c_1260,http://aims.fao.org/aos/agrovoc/c_1260,- Canning,
2,c_6195>c_1307,c_1307,http://aims.fao.org/aos/agrovoc/c_1307,- Carbonation,
2,c_6195>c_14250,c_14250,http://aims.fao.org/aos/agrovoc/c_14250,- Shelling,
2,c_6195>c_154,c_154,http://aims.fao.org/aos/agrovoc/c_154,- Aeration,
2,c_6195>c_15935,c_15935,http://aims.fao.org/aos/agrovoc/c_15935,- Alkali treatment,
3,c_6195>c_15935>c_25110,c_25110,http://aims.fao.org/aos/agrovoc/c_25110,- - Ammoniation,
3,c_6195>c_15935>c_37682,c_37682,http://aims.fao.org/aos/agrovoc/c_37682,- - Alkaline pulping,
2,c_6195>c_16127,c_16127,http://aims.fao.org/aos/agrovoc/c_16127,- Feed processing,
3,c_6195>c_16127>c_16036,c_16036,http://aims.fao.org/aos/agrovoc/c_16036,- - Silage making,
3,c_6195>c_16127>c_25675,c_25675,http://aims.fao.org/aos/agrovoc/c_25675,- - Grain crushing,
2,c_6195>c_1701,c_1701,http://aims.fao.org/aos/agrovoc/c_1701,- Coating,
2,c_6195>c_17746,c_17746,http://aims.fao.org/aos/agrovoc/c_17746,- Fabrication,
2,c_6195>c_1780,c_1780,http://aims.fao.org/aos/agrovoc/c_1780,- Comminution,
3,c_6195>c_1780>c_10180,c_10180,http://aims.fao.org/aos/agrovoc/c_10180,- - Crumbling,
3,c_6195>c_1780>c_10181,c_10181,http://aims.fao.org/aos/agrovoc/c_10181,- - Crushing,
3,c_6195>c_1780>c_10886,c_10886,http://aims.fao.org/aos/agrovoc/c_10886,- - Flaking,
3,c_6195>c_1780>c_11341,c_11341,http://aims.fao.org/aos/agrovoc/c_11341,- - Grating,
3,c_6195>c_1780>c_14265,c_14265,http://aims.fao.org/aos/agrovoc/c_14265,- - Shredding,
3,c_6195>c_1780>c_15003,c_15003,http://aims.fao.org/aos/agrovoc/c_15003,- - Trituration,
3,c_6195>c_1780>c_9835,c_9835,http://aims.fao.org/aos/agrovoc/c_9835,- - Chopping,
2,c_6195>c_1801,c_1801,http://aims.fao.org/aos/agrovoc/c_1801,- Concentrating,
3,c_6195>c_1801>c_28324,c_28324,http://aims.fao.org/aos/agrovoc/c_28324,- - Freeze concentration,
2,c_6195>c_1854,c_1854,http://aims.fao.org/aos/agrovoc/c_1854,- Cooling,
3,c_6195>c_1854>c_36844,c_36844,http://aims.fao.org/aos/agrovoc/c_36844,- - Precooling,
3,c_6195>c_1854>c_37301,c_37301,http://aims.fao.org/aos/agrovoc/c_37301,- - Evaporative cooling,
2,c_6195>c_187,c_187,http://aims.fao.org/aos/agrovoc/c_187,- Agglomerating,
3,c_6195>c_187>c_5663,c_5663,http://aims.fao.org/aos/agrovoc/c_5663,- - Pelleting,
