level,term_path,term_id,term_url,title,agrovoc
1,c_6211,c_6211,http://aims.fao.org/aos/agrovoc/c_6211,Products,
2,c_6211>c_1172,c_1172,http://aims.fao.org/aos/agrovoc/c_1172,- Byproducts,
3,c_6211>c_1172>c_1086,c_1086,http://aims.fao.org/aos/agrovoc/c_1086,- - Brewery byproducts,
4,c_6211>c_1172>c_1086>c_1085,c_1085,http://aims.fao.org/aos/agrovoc/c_1085,- - - Brewers grains,
3,c_6211>c_1172>c_1471,c_1471,http://aims.fao.org/aos/agrovoc/c_1471,- - Cereal byproducts,
4,c_6211>c_1172>c_1471>c_24892,c_24892,http://aims.fao.org/aos/agrovoc/c_24892,- - - Rice husks,
4,c_6211>c_1172>c_1471>c_32539,c_32539,http://aims.fao.org/aos/agrovoc/c_32539,- - - Rice polishings,
4,c_6211>c_1172>c_1471>c_4841,c_4841,http://aims.fao.org/aos/agrovoc/c_4841,- - - Milling byproducts,
5,c_6211>c_1172>c_1471>c_4841>c_1056,c_1056,http://aims.fao.org/aos/agrovoc/c_1056,- - - - Bran,
5,c_6211>c_1172>c_1471>c_4841>c_1491,c_1491,http://aims.fao.org/aos/agrovoc/c_1491,- - - - Chaff,
5,c_6211>c_1172>c_1471>c_4841>c_4818,c_4818,http://aims.fao.org/aos/agrovoc/c_4818,- - - - Middlings,
3,c_6211>c_1172>c_24060,c_24060,http://aims.fao.org/aos/agrovoc/c_24060,- - Peel,
3,c_6211>c_1172>c_24831,c_24831,http://aims.fao.org/aos/agrovoc/c_24831,- - Cocoa husks,
3,c_6211>c_1172>c_25402,c_25402,http://aims.fao.org/aos/agrovoc/c_25402,- - Oil mill byproducts,
4,c_6211>c_1172>c_25402>c_5336,c_5336,http://aims.fao.org/aos/agrovoc/c_5336,- - - Oilseed cakes,
5,c_6211>c_1172>c_25402>c_5336>c_12193,c_12193,http://aims.fao.org/aos/agrovoc/c_12193,- - - - Linseed cake,
5,c_6211>c_1172>c_25402>c_5336>c_16027,c_16027,http://aims.fao.org/aos/agrovoc/c_16027,- - - - Rapeseed meal,
5,c_6211>c_1172>c_25402>c_5336>c_16043,c_16043,http://aims.fao.org/aos/agrovoc/c_16043,- - - - Soybean meal,
5,c_6211>c_1172>c_25402>c_5336>c_29441,c_29441,http://aims.fao.org/aos/agrovoc/c_29441,- - - - Copra meal,
5,c_6211>c_1172>c_25402>c_5336>c_35678,c_35678,http://aims.fao.org/aos/agrovoc/c_35678,- - - - Cottonseed meal,
5,c_6211>c_1172>c_25402>c_5336>c_35679,c_35679,http://aims.fao.org/aos/agrovoc/c_35679,- - - - Groundnut meal,
5,c_6211>c_1172>c_25402>c_5336>c_35709,c_35709,http://aims.fao.org/aos/agrovoc/c_35709,- - - - Sunflower meal,
5,c_6211>c_1172>c_25402>c_5336>c_36344,c_36344,http://aims.fao.org/aos/agrovoc/c_36344,- - - - Palm kernel cake,
3,c_6211>c_1172>c_26878,c_26878,http://aims.fao.org/aos/agrovoc/c_26878,- - Fishery byproducts,
3,c_6211>c_1172>c_27459,c_27459,http://aims.fao.org/aos/agrovoc/c_27459,- - Beet pulp,
3,c_6211>c_1172>c_27624,c_27624,http://aims.fao.org/aos/agrovoc/c_27624,- - Vinasse,
3,c_6211>c_1172>c_28445,c_28445,http://aims.fao.org/aos/agrovoc/c_28445,- - Lees,
3,c_6211>c_1172>c_34239,c_34239,http://aims.fao.org/aos/agrovoc/c_34239,- - Coffee pulp,
3,c_6211>c_1172>c_4671,c_4671,http://aims.fao.org/aos/agrovoc/c_4671,- - Meat byproducts,
4,c_6211>c_1172>c_4671>c_5324,c_5324,http://aims.fao.org/aos/agrovoc/c_5324,- - - Offal,
5,c_6211>c_1172>c_4671>c_5324>c_7551,c_7551,http://aims.fao.org/aos/agrovoc/c_7551,- - - - Sweetbreads,
3,c_6211>c_1172>c_4827,c_4827,http://aims.fao.org/aos/agrovoc/c_4827,- - Milk byproducts,
3,c_6211>c_1172>c_4889,c_4889,http://aims.fao.org/aos/agrovoc/c_4889,- - Molasses,
3,c_6211>c_1172>c_7,c_7,http://aims.fao.org/aos/agrovoc/c_7,- - Abattoir byproducts,
3,c_6211>c_1172>c_7500,c_7500,http://aims.fao.org/aos/agrovoc/c_7500,- - Sugar byproducts,
4,c_6211>c_1172>c_7500>c_14665,c_14665,http://aims.fao.org/aos/agrovoc/c_14665,- - - Sugarbeet byproducts,
4,c_6211>c_1172>c_7500>c_14666,c_14666,http://aims.fao.org/aos/agrovoc/c_14666,- - - Sugarcane byproducts,
3,c_6211>c_1172>c_776,c_776,http://aims.fao.org/aos/agrovoc/c_776,- - Bagasse,
4,c_6211>c_1172>c_7>c_28265,c_28265,http://aims.fao.org/aos/agrovoc/c_28265,- - - Casings,
2,c_6211>c_15739,c_15739,http://aims.fao.org/aos/agrovoc/c_15739,- Fresh products,
2,c_6211>c_15742,c_15742,http://aims.fao.org/aos/agrovoc/c_15742,- Processed products,
3,c_6211>c_15742>c_1259,c_1259,http://aims.fao.org/aos/agrovoc/c_1259,- - Canned products,
3,c_6211>c_15742>c_15734,c_15734,http://aims.fao.org/aos/agrovoc/c_15734,- - Fermented products,
4,c_6211>c_15742>c_15734>c_2023,c_2023,http://aims.fao.org/aos/agrovoc/c_2023,- - - Cultured milk,
5,c_6211>c_15742>c_15734>c_2023>c_15463,c_15463,http://aims.fao.org/aos/agrovoc/c_15463,- - - - Yoghurt,
5,c_6211>c_15742>c_15734>c_2023>c_23849,c_23849,http://aims.fao.org/aos/agrovoc/c_23849,- - - - Kefir,
5,c_6211>c_15742>c_15734>c_2023>c_27019,c_27019,http://aims.fao.org/aos/agrovoc/c_27019,- - - - Skyr,
5,c_6211>c_15742>c_15734>c_2023>c_8602,c_8602,http://aims.fao.org/aos/agrovoc/c_8602,- - - - Acidophilus milk,
4,c_6211>c_15742>c_15734>c_7060,c_7060,http://aims.fao.org/aos/agrovoc/c_7060,- - - Silage,
5,c_6211>c_15742>c_15734>c_7060>c_24036,c_24036,http://aims.fao.org/aos/agrovoc/c_24036,- - - - Haylage,
5,c_6211>c_15742>c_15734>c_7060>c_24915,c_24915,http://aims.fao.org/aos/agrovoc/c_24915,- - - - Whole crop silage,
3,c_6211>c_15742>c_15740,c_15740,http://aims.fao.org/aos/agrovoc/c_15740,- - Dried products,
4,c_6211>c_15742>c_15740>c_15746,c_15746,http://aims.fao.org/aos/agrovoc/c_15746,- - - Freeze dried products,
4,c_6211>c_15742>c_15740>c_28515,c_28515,http://aims.fao.org/aos/agrovoc/c_28515,- - - Soup mixes,
3,c_6211>c_15742>c_15741,c_15741,http://aims.fao.org/aos/agrovoc/c_15741,- - Frozen products,
3,c_6211>c_15742>c_15744,c_15744,http://aims.fao.org/aos/agrovoc/c_15744,- - Deep frozen products,
3,c_6211>c_15742>c_15745,c_15745,http://aims.fao.org/aos/agrovoc/c_15745,- - Bottled products,
3,c_6211>c_15742>c_28558,c_28558,http://aims.fao.org/aos/agrovoc/c_28558,- - Semipreserved foods,
4,c_6211>c_15742>c_28558>c_5864,c_5864,http://aims.fao.org/aos/agrovoc/c_5864,- - - Pickles,
3,c_6211>c_15742>c_29107,c_29107,http://aims.fao.org/aos/agrovoc/c_29107,- - Processed animal products,
4,c_6211>c_15742>c_29107>c_2499,c_2499,http://aims.fao.org/aos/agrovoc/c_2499,- - - Egg products,
4,c_6211>c_15742>c_29107>c_2930,c_2930,http://aims.fao.org/aos/agrovoc/c_2930,- - - Fish products,
5,c_6211>c_15742>c_29107>c_2930>c_16479,c_16479,http://aims.fao.org/aos/agrovoc/c_16479,- - - - Canned fish,
5,c_6211>c_15742>c_29107>c_2930>c_2381,c_2381,http://aims.fao.org/aos/agrovoc/c_2381,- - - - Dried fish,
5,c_6211>c_15742>c_29107>c_2930>c_26801,c_26801,http://aims.fao.org/aos/agrovoc/c_26801,- - - - Minced fish,
6,c_6211>c_15742>c_29107>c_2930>c_26801>c_33271,c_33271,http://aims.fao.org/aos/agrovoc/c_33271,- - - - - Surimi,
5,c_6211>c_15742>c_29107>c_2930>c_29019,c_29019,http://aims.fao.org/aos/agrovoc/c_29019,- - - - Fish fillets,
5,c_6211>c_15742>c_29107>c_2930>c_2921,c_2921,http://aims.fao.org/aos/agrovoc/c_2921,- - - - Fish extracts,
5,c_6211>c_15742>c_29107>c_2930>c_2926,c_2926,http://aims.fao.org/aos/agrovoc/c_2926,- - - - Fish oils,
5,c_6211>c_15742>c_29107>c_2930>c_2927,c_2927,http://aims.fao.org/aos/agrovoc/c_2927,- - - - Fish pastes,
5,c_6211>c_15742>c_29107>c_2930>c_2931,c_2931,http://aims.fao.org/aos/agrovoc/c_2931,- - - - Fish protein concentrate,
5,c_6211>c_15742>c_29107>c_2930>c_3115,c_3115,http://aims.fao.org/aos/agrovoc/c_3115,- - - - Frozen fish,
5,c_6211>c_15742>c_29107>c_2930>c_6634,c_6634,http://aims.fao.org/aos/agrovoc/c_6634,- - - - Roes,
6,c_6211>c_15742>c_29107>c_2930>c_6634>c_1398,c_1398,http://aims.fao.org/aos/agrovoc/c_1398,- - - - - Caviar,
5,c_6211>c_15742>c_29107>c_2930>c_6762,c_6762,http://aims.fao.org/aos/agrovoc/c_6762,- - - - Salted fish,
5,c_6211>c_15742>c_29107>c_2930>c_7115,c_7115,http://aims.fao.org/aos/agrovoc/c_7115,- - - - Smoked fish,
4,c_6211>c_15742>c_29107>c_3155,c_3155,http://aims.fao.org/aos/agrovoc/c_3155,- - - Furs,
4,c_6211>c_15742>c_29107>c_35866,c_35866,http://aims.fao.org/aos/agrovoc/c_35866,- - - Animal meals,
5,c_6211>c_15742>c_29107>c_35866>c_1000,c_1000,http://aims.fao.org/aos/agrovoc/c_1000,- - - - Bone meal,
5,c_6211>c_15742>c_29107>c_35866>c_15901,c_15901,http://aims.fao.org/aos/agrovoc/c_15901,- - - - Feather meal,
5,c_6211>c_15742>c_29107>c_35866>c_2925,c_2925,http://aims.fao.org/aos/agrovoc/c_2925,- - - - Fish meal,
5,c_6211>c_15742>c_29107>c_35866>c_4677,c_4677,http://aims.fao.org/aos/agrovoc/c_4677,- - - - Meat meal,
5,c_6211>c_15742>c_29107>c_35866>c_966,c_966,http://aims.fao.org/aos/agrovoc/c_966,- - - - Blood meal,
4,c_6211>c_15742>c_29107>c_3609,c_3609,http://aims.fao.org/aos/agrovoc/c_3609,- - - Hides and skins,
4,c_6211>c_15742>c_29107>c_4241,c_4241,http://aims.fao.org/aos/agrovoc/c_4241,- - - Leather,
4,c_6211>c_15742>c_29107>c_428,c_428,http://aims.fao.org/aos/agrovoc/c_428,- - - Animal fats,
5,c_6211>c_15742>c_29107>c_428>c_1164,c_1164,http://aims.fao.org/aos/agrovoc/c_1164,- - - - Butter oil,
5,c_6211>c_15742>c_29107>c_428>c_12088,c_12088,http://aims.fao.org/aos/agrovoc/c_12088,- - - - Lard,
5,c_6211>c_15742>c_29107>c_428>c_14663,c_14663,http://aims.fao.org/aos/agrovoc/c_14663,- - - - Suet,
5,c_6211>c_15742>c_29107>c_428>c_15324,c_15324,http://aims.fao.org/aos/agrovoc/c_15324,- - - - Whale oil,
