level,term_path,term_id,term_url,title,agrovoc
1,c_7644,c_7644,http://aims.fao.org/aos/agrovoc/c_7644,Technology,
2,c_7644>c_1307955710901,c_1307955710901,http://aims.fao.org/aos/agrovoc/c_1307955710901,- Nanotechnology,
2,c_7644>c_1410336367928,c_1410336367928,http://aims.fao.org/aos/agrovoc/c_1410336367928,- Ancestral technology,
2,c_7644>c_16165,c_16165,http://aims.fao.org/aos/agrovoc/c_16165,- Biotechnology,
3,c_7644>c_16165>c_27450,c_27450,http://aims.fao.org/aos/agrovoc/c_27450,- - Animal biotechnology,
3,c_7644>c_16165>c_27590,c_27590,http://aims.fao.org/aos/agrovoc/c_27590,- - Plant biotechnology,
4,c_7644>c_16165>c_27590>c_e14f94c5,c_e14f94c5,http://aims.fao.org/aos/agrovoc/c_e14f94c5,- - - Biostimulants,
3,c_7644>c_16165>c_27679,c_27679,http://aims.fao.org/aos/agrovoc/c_27679,- - Space biotechnology,
2,c_7644>c_24009,c_24009,http://aims.fao.org/aos/agrovoc/c_24009,- Computer applications,
3,c_7644>c_24009>c_36897,c_36897,http://aims.fao.org/aos/agrovoc/c_36897,- - Decision support,
2,c_7644>c_27895,c_27895,http://aims.fao.org/aos/agrovoc/c_27895,- Fertilizer technology,
2,c_7644>c_28195,c_28195,http://aims.fao.org/aos/agrovoc/c_28195,- Wood technology,
3,c_7644>c_28195>c_28196,c_28196,http://aims.fao.org/aos/agrovoc/c_28196,- - Wood conditioning,
2,c_7644>c_28780,c_28780,http://aims.fao.org/aos/agrovoc/c_28780,- Traditional technology,
2,c_7644>c_3030,c_3030,http://aims.fao.org/aos/agrovoc/c_3030,- Food technology,
3,c_7644>c_3030>c_25005,c_25005,http://aims.fao.org/aos/agrovoc/c_25005,- - Food preservation,
4,c_7644>c_3030>c_25005>c_1092,c_1092,http://aims.fao.org/aos/agrovoc/c_1092,- - - Brining,
4,c_7644>c_3030>c_25005>c_14061,c_14061,http://aims.fao.org/aos/agrovoc/c_14061,- - - Salting,
4,c_7644>c_3030>c_25005>c_49980,c_49980,http://aims.fao.org/aos/agrovoc/c_49980,- - - Food irradiation,
4,c_7644>c_3030>c_25005>c_5865,c_5865,http://aims.fao.org/aos/agrovoc/c_5865,- - - Pickling,
3,c_7644>c_3030>c_28586,c_28586,http://aims.fao.org/aos/agrovoc/c_28586,- - Sugar technology,
3,c_7644>c_3030>c_37969,c_37969,http://aims.fao.org/aos/agrovoc/c_37969,- - Food processing,
4,c_7644>c_3030>c_37969>c_1072,c_1072,http://aims.fao.org/aos/agrovoc/c_1072,- - - Breadmaking,
4,c_7644>c_3030>c_37969>c_1087,c_1087,http://aims.fao.org/aos/agrovoc/c_1087,- - - Brewing,
5,c_7644>c_3030>c_37969>c_1087>c_11595,c_11595,http://aims.fao.org/aos/agrovoc/c_11595,- - - - Hopping,
5,c_7644>c_3030>c_37969>c_1087>c_28355,c_28355,http://aims.fao.org/aos/agrovoc/c_28355,- - - - Mashing,
5,c_7644>c_3030>c_37969>c_1087>c_28597,c_28597,http://aims.fao.org/aos/agrovoc/c_28597,- - - - Kilning,
4,c_7644>c_3030>c_37969>c_1166,c_1166,http://aims.fao.org/aos/agrovoc/c_1166,- - - Buttermaking,
4,c_7644>c_3030>c_37969>c_12355,c_12355,http://aims.fao.org/aos/agrovoc/c_12355,- - - Malting,
4,c_7644>c_3030>c_37969>c_1506,c_1506,http://aims.fao.org/aos/agrovoc/c_1506,- - - Cheesemaking,
4,c_7644>c_3030>c_37969>c_29020,c_29020,http://aims.fao.org/aos/agrovoc/c_29020,- - - Fish processing,
5,c_7644>c_3030>c_37969>c_29020>c_32450,c_32450,http://aims.fao.org/aos/agrovoc/c_32450,- - - - Fish filleting,
4,c_7644>c_3030>c_37969>c_331331,c_331331,http://aims.fao.org/aos/agrovoc/c_331331,- - - Minimal processing (of food),
4,c_7644>c_3030>c_37969>c_5270,c_5270,http://aims.fao.org/aos/agrovoc/c_5270,- - - Nutrient improvement,
5,c_7644>c_3030>c_37969>c_5270>c_25238,c_25238,http://aims.fao.org/aos/agrovoc/c_25238,- - - - Food fortification,
5,c_7644>c_3030>c_37969>c_5270>c_3018,c_3018,http://aims.fao.org/aos/agrovoc/c_3018,- - - - Food enrichment,
5,c_7644>c_3030>c_37969>c_5270>c_32752,c_32752,http://aims.fao.org/aos/agrovoc/c_32752,- - - - Food supplementation,
4,c_7644>c_3030>c_37969>c_8405,c_8405,http://aims.fao.org/aos/agrovoc/c_8405,- - - Winemaking,
5,c_7644>c_3030>c_37969>c_8405>c_9736,c_9736,http://aims.fao.org/aos/agrovoc/c_9736,- - - - Champagnization,
5,c_7644>c_3030>c_37969>c_8405>c_9742,c_9742,http://aims.fao.org/aos/agrovoc/c_9742,- - - - Chaptalization,
2,c_7644>c_331371,c_331371,http://aims.fao.org/aos/agrovoc/c_331371,- Production technology,
2,c_7644>c_331372,c_331372,http://aims.fao.org/aos/agrovoc/c_331372,- Protection technology,
2,c_7644>c_331520,c_331520,http://aims.fao.org/aos/agrovoc/c_331520,- Seed technology,
2,c_7644>c_36742,c_36742,http://aims.fao.org/aos/agrovoc/c_36742,- High pressure technology,
2,c_7644>c_37468,c_37468,http://aims.fao.org/aos/agrovoc/c_37468,- New technology,
2,c_7644>c_37649,c_37649,http://aims.fao.org/aos/agrovoc/c_37649,- Enzyme technology,
2,c_7644>c_37873,c_37873,http://aims.fao.org/aos/agrovoc/c_37873,- Energy technology,
2,c_7644>c_544,c_544,http://aims.fao.org/aos/agrovoc/c_544,- Appropriate technology,
2,c_7644>c_6133,c_6133,http://aims.fao.org/aos/agrovoc/c_6133,- Postharvest technology,
2,c_7644>c_7643,c_7643,http://aims.fao.org/aos/agrovoc/c_7643,- Technological changes,
3,c_7644>c_7643>c_27560,c_27560,http://aims.fao.org/aos/agrovoc/c_27560,- - Innovation,
3,c_7644>c_7643>c_4882,c_4882,http://aims.fao.org/aos/agrovoc/c_4882,- - Modernization,
4,c_7644>c_7643>c_4882>c_15855,c_15855,http://aims.fao.org/aos/agrovoc/c_15855,- - - Automation,
