level,term_path,term_id,term_url,title,agrovoc
1,C584,C584,http://id.agrisemantics.org/gacs/C584,Nutrition,http://aims.fao.org/aos/agrovoc/c_49892
2,C584>C10374,C10374,http://id.agrisemantics.org/gacs/C10374,- Nutrient excesses,http://aims.fao.org/aos/agrovoc/c_34870
3,C584>C10374>C23711,C23711,http://id.agrisemantics.org/gacs/C23711,- - Fluorosis,http://aims.fao.org/aos/agrovoc/c_10937
2,C584>C1083,C1083,http://id.agrisemantics.org/gacs/C1083,- Plant nutrition,http://aims.fao.org/aos/agrovoc/c_16379
3,C584>C1083>C26214,C26214,http://id.agrisemantics.org/gacs/C26214,- - Tree nutrition,
3,C584>C1083>C4536,C4536,http://id.agrisemantics.org/gacs/C4536,- - Nutrient solutions,http://aims.fao.org/aos/agrovoc/c_5271
3,C584>C1083>C8067,C8067,http://id.agrisemantics.org/gacs/C8067,- - Fertilizer requirements,
2,C584>C1104,C1104,http://id.agrisemantics.org/gacs/C1104,- Nutrient intake,http://aims.fao.org/aos/agrovoc/c_34064
3,C584>C1104>C11208,C11208,http://id.agrisemantics.org/gacs/C11208,- - Fat consumption,
3,C584>C1104>C16848,C16848,http://id.agrisemantics.org/gacs/C16848,- - Repletion,
3,C584>C1104>C24165,C24165,http://id.agrisemantics.org/gacs/C24165,- - Carbohydrate intake,
3,C584>C1104>C24863,C24863,http://id.agrisemantics.org/gacs/C24863,- - Refeeding,
3,C584>C1104>C6059,C6059,http://id.agrisemantics.org/gacs/C6059,- - Protein intake,
2,C584>C11457,C11457,http://id.agrisemantics.org/gacs/C11457,- Food availability,
2,C584>C1191,C1191,http://id.agrisemantics.org/gacs/C1191,- Nutrient deficiencies,http://aims.fao.org/aos/agrovoc/c_34868
3,C584>C1191>C17885,C17885,http://id.agrisemantics.org/gacs/C17885,- - Protein deficiencies,http://aims.fao.org/aos/agrovoc/c_6252
4,C584>C1191>C17885>C18398,C18398,http://id.agrisemantics.org/gacs/C18398,- - - Kwashiorkor,http://aims.fao.org/aos/agrovoc/c_34303
3,C584>C1191>C3977,C3977,http://id.agrisemantics.org/gacs/C3977,- - Mineral deficiencies,http://aims.fao.org/aos/agrovoc/c_4849
4,C584>C1191>C3977>C7486,C7486,http://id.agrisemantics.org/gacs/C7486,- - - Trace element deficiencies,http://aims.fao.org/aos/agrovoc/c_7833
3,C584>C1191>C4049,C4049,http://id.agrisemantics.org/gacs/C4049,- - Vitamin deficiencies,http://aims.fao.org/aos/agrovoc/c_8272
4,C584>C1191>C4049>C13826,C13826,http://id.agrisemantics.org/gacs/C13826,- - - Vitamin a deficiency,
2,C584>C1257,C1257,http://id.agrisemantics.org/gacs/C1257,- Nutritional status,http://aims.fao.org/aos/agrovoc/c_24877
3,C584>C1257>C6498,C6498,http://id.agrisemantics.org/gacs/C6498,- - Starvation,http://aims.fao.org/aos/agrovoc/c_7375
2,C584>C126,C126,http://id.agrisemantics.org/gacs/C126,- Animal nutrition,http://aims.fao.org/aos/agrovoc/c_27925
3,C584>C126>C10518,C10518,http://id.agrisemantics.org/gacs/C10518,- - Ruminant nutrition,
3,C584>C126>C25980,C25980,http://id.agrisemantics.org/gacs/C25980,- - Insect nutrition,
3,C584>C126>C822,C822,http://id.agrisemantics.org/gacs/C822,- - Feed intake,http://aims.fao.org/aos/agrovoc/c_16126
4,C584>C126>C822>C16974,C16974,http://id.agrisemantics.org/gacs/C16974,- - - Voluntary intake,
4,C584>C126>C822>C9768,C9768,http://id.agrisemantics.org/gacs/C9768,- - - Dry matter intake,
2,C584>C1324,C1324,http://id.agrisemantics.org/gacs/C1324,- Nutrition physiology,http://aims.fao.org/aos/agrovoc/c_5275
3,C584>C1324>C10137,C10137,http://id.agrisemantics.org/gacs/C10137,- - Antinutritional factors,http://aims.fao.org/aos/agrovoc/c_34999
3,C584>C1324>C10620,C10620,http://id.agrisemantics.org/gacs/C10620,- - Nutrient balance,http://aims.fao.org/aos/agrovoc/c_35711
3,C584>C1324>C11069,C11069,http://id.agrisemantics.org/gacs/C11069,- - Assimilation,http://aims.fao.org/aos/agrovoc/c_678
4,C584>C1324>C11069>C6636,C6636,http://id.agrisemantics.org/gacs/C6636,- - - Net assimilation rate,
3,C584>C1324>C11673,C11673,http://id.agrisemantics.org/gacs/C11673,- - Nutrient reserves,
3,C584>C1324>C14130,C14130,http://id.agrisemantics.org/gacs/C14130,- - Nutrient utilization,http://aims.fao.org/aos/agrovoc/c_36245
4,C584>C1324>C14130>C1386,C1386,http://id.agrisemantics.org/gacs/C1386,- - - Feed conversion efficiency,http://aims.fao.org/aos/agrovoc/c_16125
5,C584>C1324>C14130>C1386>C15946,C15946,http://id.agrisemantics.org/gacs/C15946,- - - - Nitrogen retention,http://aims.fao.org/aos/agrovoc/c_24944
4,C584>C1324>C14130>C22445,C22445,http://id.agrisemantics.org/gacs/C22445,- - - Food conversion,
3,C584>C1324>C1956,C1956,http://id.agrisemantics.org/gacs/C1956,- - Nutrient requirements,http://aims.fao.org/aos/agrovoc/c_5277
4,C584>C1324>C1956>C15999,C15999,http://id.agrisemantics.org/gacs/C15999,- - - Protein requirement,http://aims.fao.org/aos/agrovoc/c_13618
5,C584>C1324>C1956>C15999>C31542,C31542,http://id.agrisemantics.org/gacs/C31542,- - - - Amino acid requirements,
4,C584>C1324>C1956>C1857,C1857,http://id.agrisemantics.org/gacs/C1857,- - - Nitrogen fixation,http://aims.fao.org/aos/agrovoc/c_5196
4,C584>C1324>C1956>C29778,C29778,http://id.agrisemantics.org/gacs/C29778,- - - Feed requirements,http://aims.fao.org/aos/agrovoc/c_27930
5,C584>C1324>C1956>C29778>C7086,C7086,http://id.agrisemantics.org/gacs/C7086,- - - - Feed rations,
3,C584>C1324>C21546,C21546,http://id.agrisemantics.org/gacs/C21546,- - Nutrient partitioning,
3,C584>C1324>C3441,C3441,http://id.agrisemantics.org/gacs/C3441,- - Digestion,http://aims.fao.org/aos/agrovoc/c_2271
4,C584>C1324>C3441>C10441,C10441,http://id.agrisemantics.org/gacs/C10441,- - - Digestive absorption,http://aims.fao.org/aos/agrovoc/c_2272
5,C584>C1324>C3441>C10441>C3705,C3705,http://id.agrisemantics.org/gacs/C3705,- - - - Intestinal absorption,
6,C584>C1324>C3441>C10441>C3705>C17409,C17409,http://id.agrisemantics.org/gacs/C17409,- - - - - Iron absorption,
4,C584>C1324>C3441>C16281,C16281,http://id.agrisemantics.org/gacs/C16281,- - - Mastication,http://aims.fao.org/aos/agrovoc/c_12424
4,C584>C1324>C3441>C29791,C29791,http://id.agrisemantics.org/gacs/C29791,- - - Cellulose digestion,http://aims.fao.org/aos/agrovoc/c_27481
4,C584>C1324>C3441>C3228,C3228,http://id.agrisemantics.org/gacs/C3228,- - - Rumen fermentation,http://aims.fao.org/aos/agrovoc/c_34333
5,C584>C1324>C3441>C3228>C15235,C15235,http://id.agrisemantics.org/gacs/C15235,- - - - Rumination,http://aims.fao.org/aos/agrovoc/c_6696
3,C584>C1324>C3792,C3792,http://id.agrisemantics.org/gacs/C3792,- - Nutrient transport,http://aims.fao.org/aos/agrovoc/c_5272
3,C584>C1324>C5876,C5876,http://id.agrisemantics.org/gacs/C5876,- - Appetite,http://aims.fao.org/aos/agrovoc/c_540
4,C584>C1324>C5876>C11606,C11606,http://id.agrisemantics.org/gacs/C11606,- - - Anorexia,http://aims.fao.org/aos/agrovoc/c_8830
5,C584>C1324>C5876>C11606>C12906,C12906,http://id.agrisemantics.org/gacs/C12906,- - - - Anorexia nervosa,
4,C584>C1324>C5876>C9600,C9600,http://id.agrisemantics.org/gacs/C9600,- - - Hunger,
3,C584>C1324>C6186,C6186,http://id.agrisemantics.org/gacs/C6186,- - Nutrient nutrient interactions,http://aims.fao.org/aos/agrovoc/c_34871
3,C584>C1324>C7662,C7662,http://id.agrisemantics.org/gacs/C7662,- - Genotype nutrition interaction,
3,C584>C1324>C8175,C8175,http://id.agrisemantics.org/gacs/C8175,- - Energy requirements,
3,C584>C1324>C8469,C8469,http://id.agrisemantics.org/gacs/C8469,- - Nutrient retention,
3,C584>C1324>C942,C942,http://id.agrisemantics.org/gacs/C942,- - Nutrient uptake,http://aims.fao.org/aos/agrovoc/c_5273
4,C584>C1324>C942>C4869,C4869,http://id.agrisemantics.org/gacs/C4869,- - - Water uptake,http://aims.fao.org/aos/agrovoc/c_8329
2,C584>C20244,C20244,http://id.agrisemantics.org/gacs/C20244,- Optimal nutrition,
2,C584>C222,C222,http://id.agrisemantics.org/gacs/C222,- Diet,http://aims.fao.org/aos/agrovoc/c_2261
3,C584>C222>C1038,C1038,http://id.agrisemantics.org/gacs/C1038,- - Food intake,http://aims.fao.org/aos/agrovoc/c_3022
4,C584>C222>C1038>C15350,C15350,http://id.agrisemantics.org/gacs/C15350,- - - Milk consumption,
4,C584>C222>C1038>C17886,C17886,http://id.agrisemantics.org/gacs/C17886,- - - Portion size,
4,C584>C222>C1038>C30047,C30047,http://id.agrisemantics.org/gacs/C30047,- - - Fish consumption,
3,C584>C222>C11592,C11592,http://id.agrisemantics.org/gacs/C11592,- - Dietary nutrient sources,
4,C584>C222>C11592>C10356,C10356,http://id.agrisemantics.org/gacs/C10356,- - - Protein sources,
3,C584>C222>C12678,C12678,http://id.agrisemantics.org/gacs/C12678,- - Vegetarian diet,
3,C584>C222>C1293,C1293,http://id.agrisemantics.org/gacs/C1293,- - Dietary fat,
3,C584>C222>C13149,C13149,http://id.agrisemantics.org/gacs/C13149,- - Artificial diets,
