level,term_path,term_id,term_url,title,agrovoc
1,C1156,C1156,http://id.agrisemantics.org/gacs/C1156,Processing,http://aims.fao.org/aos/agrovoc/c_6195
2,C1156>C10213,C10213,http://id.agrisemantics.org/gacs/C10213,- Soaking,http://aims.fao.org/aos/agrovoc/c_7127
2,C1156>C10474,C10474,http://id.agrisemantics.org/gacs/C10474,- Isolation techniques,http://aims.fao.org/aos/agrovoc/c_3965
2,C1156>C10566,C10566,http://id.agrisemantics.org/gacs/C10566,- Encapsulation,http://aims.fao.org/aos/agrovoc/c_28357
3,C1156>C10566>C14688,C14688,http://id.agrisemantics.org/gacs/C14688,- - Microencapsulation,http://aims.fao.org/aos/agrovoc/c_35224
2,C1156>C10759,C10759,http://id.agrisemantics.org/gacs/C10759,- Comminution,http://aims.fao.org/aos/agrovoc/c_1780
2,C1156>C10854,C10854,http://id.agrisemantics.org/gacs/C10854,- Saccharification,
2,C1156>C11526,C11526,http://id.agrisemantics.org/gacs/C11526,- Solubilization,http://aims.fao.org/aos/agrovoc/c_7234
2,C1156>C1161,C1161,http://id.agrisemantics.org/gacs/C1161,- Heat treatment,http://aims.fao.org/aos/agrovoc/c_24947
3,C1156>C1161>C10083,C10083,http://id.agrisemantics.org/gacs/C10083,- - Microwave treatment,http://aims.fao.org/aos/agrovoc/c_28461
4,C1156>C1161>C10083>C16674,C16674,http://id.agrisemantics.org/gacs/C16674,- - - Microwave cooking,http://aims.fao.org/aos/agrovoc/c_26799
3,C1156>C1161>C10452,C10452,http://id.agrisemantics.org/gacs/C10452,- - Hot water treatment,http://aims.fao.org/aos/agrovoc/c_36195
3,C1156>C1161>C11674,C11674,http://id.agrisemantics.org/gacs/C11674,- - Steaming,http://aims.fao.org/aos/agrovoc/c_7381
3,C1156>C1161>C13677,C13677,http://id.agrisemantics.org/gacs/C13677,- - Boiling,http://aims.fao.org/aos/agrovoc/c_988
3,C1156>C1161>C15144,C15144,http://id.agrisemantics.org/gacs/C15144,- - Blanching,http://aims.fao.org/aos/agrovoc/c_950
3,C1156>C1161>C31756,C31756,http://id.agrisemantics.org/gacs/C31756,- - Scalding,http://aims.fao.org/aos/agrovoc/c_6837
