level,term_path,term_id,term_url,title,agrovoc
1,C4648,C4648,http://id.agrisemantics.org/gacs/C4648,Products,http://aims.fao.org/aos/agrovoc/c_6211
2,C4648>C10050,C10050,http://id.agrisemantics.org/gacs/C10050,- Plant residues,
3,C4648>C10050>C30430,C30430,http://id.agrisemantics.org/gacs/C30430,- - Thatch,http://aims.fao.org/aos/agrovoc/c_7704
3,C4648>C10050>C3990,C3990,http://id.agrisemantics.org/gacs/C3990,- - Crop residues,http://aims.fao.org/aos/agrovoc/c_16118
4,C4648>C10050>C3990>C12752,C12752,http://id.agrisemantics.org/gacs/C12752,- - - Stumps,http://aims.fao.org/aos/agrovoc/c_24412
4,C4648>C10050>C3990>C14213,C14213,http://id.agrisemantics.org/gacs/C14213,- - - Stubble,http://aims.fao.org/aos/agrovoc/c_16650
4,C4648>C10050>C3990>C20178,C20178,http://id.agrisemantics.org/gacs/C20178,- - - Maize cobs,
4,C4648>C10050>C3990>C4767,C4767,http://id.agrisemantics.org/gacs/C4767,- - - Plant litter,http://aims.fao.org/aos/agrovoc/c_24064
5,C4648>C10050>C3990>C4767>C3927,C3927,http://id.agrisemantics.org/gacs/C3927,- - - - Forest litter,http://aims.fao.org/aos/agrovoc/c_3047
2,C4648>C10937,C10937,http://id.agrisemantics.org/gacs/C10937,- Meal,
3,C4648>C10937>C10451,C10451,http://id.agrisemantics.org/gacs/C10451,- - Oilmeals,
4,C4648>C10937>C10451>C23027,C23027,http://id.agrisemantics.org/gacs/C23027,- - - Groundnut oilmeal,
3,C4648>C10937>C13387,C13387,http://id.agrisemantics.org/gacs/C13387,- - Feed meals,http://aims.fao.org/aos/agrovoc/c_2835
4,C4648>C10937>C13387>C30718,C30718,http://id.agrisemantics.org/gacs/C30718,- - - Leaf meal,http://aims.fao.org/aos/agrovoc/c_16374
3,C4648>C10937>C18636,C18636,http://id.agrisemantics.org/gacs/C18636,- - Maize meal,
3,C4648>C10937>C19896,C19896,http://id.agrisemantics.org/gacs/C19896,- - Blood meal,http://aims.fao.org/aos/agrovoc/c_966
3,C4648>C10937>C23439,C23439,http://id.agrisemantics.org/gacs/C23439,- - Maize gluten meal,
3,C4648>C10937>C24428,C24428,http://id.agrisemantics.org/gacs/C24428,- - Alfalfa meal,
3,C4648>C10937>C28063,C28063,http://id.agrisemantics.org/gacs/C28063,- - Feather meal,http://aims.fao.org/aos/agrovoc/c_15901
3,C4648>C10937>C8503,C8503,http://id.agrisemantics.org/gacs/C8503,- - Fish meal,http://aims.fao.org/aos/agrovoc/c_2925
2,C4648>C11209,C11209,http://id.agrisemantics.org/gacs/C11209,- Processed products,http://aims.fao.org/aos/agrovoc/c_15742
3,C4648>C11209>C13591,C13591,http://id.agrisemantics.org/gacs/C13591,- - Processed foods,http://aims.fao.org/aos/agrovoc/c_28228
4,C4648>C11209>C13591>C10576,C10576,http://id.agrisemantics.org/gacs/C10576,- - - Prepared foods,http://aims.fao.org/aos/agrovoc/c_6170
5,C4648>C11209>C13591>C10576>C10870,C10870,http://id.agrisemantics.org/gacs/C10870,- - - - Infant foods,http://aims.fao.org/aos/agrovoc/c_3850
6,C4648>C11209>C13591>C10576>C10870>C31554,C31554,http://id.agrisemantics.org/gacs/C31554,- - - - - Complementary foods,
6,C4648>C11209>C13591>C10576>C10870>C6822,C6822,http://id.agrisemantics.org/gacs/C6822,- - - - - Infant formulae,
5,C4648>C11209>C13591>C10576>C28114,C28114,http://id.agrisemantics.org/gacs/C28114,- - - - Instant foods,http://aims.fao.org/aos/agrovoc/c_3896
5,C4648>C11209>C13591>C10576>C8935,C8935,http://id.agrisemantics.org/gacs/C8935,- - - - Soyfoods,http://aims.fao.org/aos/agrovoc/c_15523
6,C4648>C11209>C13591>C10576>C8935>C17565,C17565,http://id.agrisemantics.org/gacs/C17565,- - - - - Soya milk,http://aims.fao.org/aos/agrovoc/c_15563
6,C4648>C11209>C13591>C10576>C8935>C22752,C22752,http://id.agrisemantics.org/gacs/C22752,- - - - - Tofu,http://aims.fao.org/aos/agrovoc/c_15570
6,C4648>C11209>C13591>C10576>C8935>C30741,C30741,http://id.agrisemantics.org/gacs/C30741,- - - - - Soy sauce,http://aims.fao.org/aos/agrovoc/c_24246
5,C4648>C11209>C13591>C10576>C9623,C9623,http://id.agrisemantics.org/gacs/C9623,- - - - Ice cream,http://aims.fao.org/aos/agrovoc/c_3784
4,C4648>C11209>C13591>C21727,C21727,http://id.agrisemantics.org/gacs/C21727,- - - Desserts,http://aims.fao.org/aos/agrovoc/c_24015
4,C4648>C11209>C13591>C27144,C27144,http://id.agrisemantics.org/gacs/C27144,- - - Minimally processed foods,
5,C4648>C11209>C13591>C27144>C15399,C15399,http://id.agrisemantics.org/gacs/C15399,- - - - Fresh-cut foods,
3,C4648>C11209>C13675,C13675,http://id.agrisemantics.org/gacs/C13675,- - Fermentation products,http://aims.fao.org/aos/agrovoc/c_15734
4,C4648>C11209>C13675>C2480,C2480,http://id.agrisemantics.org/gacs/C2480,- - - Silage,http://aims.fao.org/aos/agrovoc/c_7060
5,C4648>C11209>C13675>C2480>C12075,C12075,http://id.agrisemantics.org/gacs/C12075,- - - - Grass silage,
5,C4648>C11209>C13675>C2480>C19972,C19972,http://id.agrisemantics.org/gacs/C19972,- - - - Whole crop silage,http://aims.fao.org/aos/agrovoc/c_24915
5,C4648>C11209>C13675>C2480>C22164,C22164,http://id.agrisemantics.org/gacs/C22164,- - - - Alfalfa silage,
5,C4648>C11209>C13675>C2480>C24316,C24316,http://id.agrisemantics.org/gacs/C24316,- - - - Haylage,http://aims.fao.org/aos/agrovoc/c_24036
5,C4648>C11209>C13675>C2480>C9246,C9246,http://id.agrisemantics.org/gacs/C9246,- - - - Maize silage,
