level,term_path,term_id,term_url,title,agrovoc
1,C2308,C2308,http://id.agrisemantics.org/gacs/C2308,Technology,http://aims.fao.org/aos/agrovoc/c_7644
2,C2308>C10647,C10647,http://id.agrisemantics.org/gacs/C10647,- Production technology,http://aims.fao.org/aos/agrovoc/c_331371
3,C2308>C10647>C2018,C2018,http://id.agrisemantics.org/gacs/C2018,- - Harvesting,http://aims.fao.org/aos/agrovoc/c_3500
4,C2308>C10647>C2018>C10540,C10540,http://id.agrisemantics.org/gacs/C10540,- - - Mowing,http://aims.fao.org/aos/agrovoc/c_12679
4,C2308>C10647>C2018>C12704,C12704,http://id.agrisemantics.org/gacs/C12704,- - - Mechanical harvesting,http://aims.fao.org/aos/agrovoc/c_35384
4,C2308>C10647>C2018>C14842,C14842,http://id.agrisemantics.org/gacs/C14842,- - - Picking,http://aims.fao.org/aos/agrovoc/c_5863
4,C2308>C10647>C2018>C17449,C17449,http://id.agrisemantics.org/gacs/C17449,- - - Harvesting frequency,http://aims.fao.org/aos/agrovoc/c_32476
5,C2308>C10647>C2018>C17449>C18803,C18803,http://id.agrisemantics.org/gacs/C18803,- - - - Cutting frequency,
4,C2308>C10647>C2018>C19031,C19031,http://id.agrisemantics.org/gacs/C19031,- - - Tapping,http://aims.fao.org/aos/agrovoc/c_7611
4,C2308>C10647>C2018>C21001,C21001,http://id.agrisemantics.org/gacs/C21001,- - - Threshing,http://aims.fao.org/aos/agrovoc/c_7739
4,C2308>C10647>C2018>C22222,C22222,http://id.agrisemantics.org/gacs/C22222,- - - Baling,http://aims.fao.org/aos/agrovoc/c_795
4,C2308>C10647>C2018>C24970,C24970,http://id.agrisemantics.org/gacs/C24970,- - - Haymaking,http://aims.fao.org/aos/agrovoc/c_17757
4,C2308>C10647>C2018>C3438,C3438,http://id.agrisemantics.org/gacs/C3438,- - - Harvesting date,http://aims.fao.org/aos/agrovoc/c_29464
5,C2308>C10647>C2018>C3438>C16979,C16979,http://id.agrisemantics.org/gacs/C16979,- - - - Cutting date,
3,C2308>C10647>C5275,C5275,http://id.agrisemantics.org/gacs/C5275,- - Postharvest technology,http://aims.fao.org/aos/agrovoc/c_6133
4,C2308>C10647>C5275>C13667,C13667,http://id.agrisemantics.org/gacs/C13667,- - - Postharvest systems,
4,C2308>C10647>C5275>C4980,C4980,http://id.agrisemantics.org/gacs/C4980,- - - Postharvest treatment,http://aims.fao.org/aos/agrovoc/c_6130
5,C2308>C10647>C5275>C4980>C3753,C3753,http://id.agrisemantics.org/gacs/C3753,- - - - Stored products pest control,http://aims.fao.org/aos/agrovoc/c_7432
2,C2308>C10812,C10812,http://id.agrisemantics.org/gacs/C10812,- Storage conditions,
3,C2308>C10812>C3432,C3432,http://id.agrisemantics.org/gacs/C3432,- - Storage time,
3,C2308>C10812>C4758,C4758,http://id.agrisemantics.org/gacs/C4758,- - Storage temperature,
2,C2308>C1093,C1093,http://id.agrisemantics.org/gacs/C1093,- Transport,http://aims.fao.org/aos/agrovoc/c_7874
3,C2308>C1093>C13614,C13614,http://id.agrisemantics.org/gacs/C13614,- - Traffic,http://aims.fao.org/aos/agrovoc/c_37947
3,C2308>C1093>C16741,C16741,http://id.agrisemantics.org/gacs/C16741,- - Road transport,http://aims.fao.org/aos/agrovoc/c_6620
3,C2308>C1093>C25502,C25502,http://id.agrisemantics.org/gacs/C25502,- - Air transport,http://aims.fao.org/aos/agrovoc/c_231
3,C2308>C1093>C26911,C26911,http://id.agrisemantics.org/gacs/C26911,- - Refrigerated transport,http://aims.fao.org/aos/agrovoc/c_25815
3,C2308>C1093>C28529,C28529,http://id.agrisemantics.org/gacs/C28529,- - Bridges (infrastructure),
3,C2308>C1093>C28530,C28530,http://id.agrisemantics.org/gacs/C28530,- - Water transportation,http://aims.fao.org/aos/agrovoc/c_31910
4,C2308>C1093>C28530>C25546,C25546,http://id.agrisemantics.org/gacs/C25546,- - - Sea transport,http://aims.fao.org/aos/agrovoc/c_6901
3,C2308>C1093>C29395,C29395,http://id.agrisemantics.org/gacs/C29395,- - Container transport,http://aims.fao.org/aos/agrovoc/c_1830
3,C2308>C1093>C9951,C9951,http://id.agrisemantics.org/gacs/C9951,- - Transport of animals,http://aims.fao.org/aos/agrovoc/c_32612
2,C2308>C12196,C12196,http://id.agrisemantics.org/gacs/C12196,- Traditional technology,http://aims.fao.org/aos/agrovoc/c_28780
2,C2308>C12403,C12403,http://id.agrisemantics.org/gacs/C12403,- Energy generation,http://aims.fao.org/aos/agrovoc/c_24836
2,C2308>C1354,C1354,http://id.agrisemantics.org/gacs/C1354,- Food technology,http://aims.fao.org/aos/agrovoc/c_3030
3,C2308>C1354>C1107,C1107,http://id.agrisemantics.org/gacs/C1107,- - Food storage,http://aims.fao.org/aos/agrovoc/c_49990
3,C2308>C1354>C12822,C12822,http://id.agrisemantics.org/gacs/C12822,- - Food biotechnology,
3,C2308>C1354>C20077,C20077,http://id.agrisemantics.org/gacs/C20077,- - Sugar technology,http://aims.fao.org/aos/agrovoc/c_28586
3,C2308>C1354>C23624,C23624,http://id.agrisemantics.org/gacs/C23624,- - Dairy technology,
