File,level,term_path,term_id,term_url,title,agrovoc
GACS-Crops-C422.csv,1,C422,C422,http://id.agrisemantics.org/gacs/C422,Crops,http://aims.fao.org/aos/agrovoc/c_1972
GACS-Crops-C422.csv,2,C422>C10525,C10525,http://id.agrisemantics.org/gacs/C10525,- Fuel crops,http://aims.fao.org/aos/agrovoc/c_15583
GACS-Crops-C422.csv,2,C422>C14299,C14299,http://id.agrisemantics.org/gacs/C14299,- Protein plants,http://aims.fao.org/aos/agrovoc/c_32690
GACS-Crops-C422.csv,2,C422>C1486,C1486,http://id.agrisemantics.org/gacs/C1486,- Soil reclamation plants,http://aims.fao.org/aos/agrovoc/c_7185
GACS-Crops-C422.csv,2,C422>C15011,C15011,http://id.agrisemantics.org/gacs/C15011,- Tan plants,http://aims.fao.org/aos/agrovoc/c_7599
GACS-Crops-C422.csv,2,C422>C15865,C15865,http://id.agrisemantics.org/gacs/C15865,- Browse plants,http://aims.fao.org/aos/agrovoc/c_9458
GACS-Crops-C422.csv,3,C422>C15865>C17598,C17598,http://id.agrisemantics.org/gacs/C17598,- - Artemisia tridentata,http://aims.fao.org/aos/agrovoc/c_35528
GACS-Crops-C422.csv,3,C422>C15865>C26941,C26941,http://id.agrisemantics.org/gacs/C26941,- - Tamarindus indica,http://aims.fao.org/aos/agrovoc/c_7596
GACS-Crops-C422.csv,3,C422>C15865>C27771,C27771,http://id.agrisemantics.org/gacs/C27771,- - Larrea tridentata,
GACS-Crops-C422.csv,2,C422>C15943,C15943,http://id.agrisemantics.org/gacs/C15943,- Cash crops,http://aims.fao.org/aos/agrovoc/c_1359
GACS-Crops-C422.csv,2,C422>C16835,C16835,http://id.agrisemantics.org/gacs/C16835,- Intercrops,
GACS-Crops-C422.csv,2,C422>C17044,C17044,http://id.agrisemantics.org/gacs/C17044,- Upland crops,http://aims.fao.org/aos/agrovoc/c_8075
GACS-Crops-C422.csv,2,C422>C17290,C17290,http://id.agrisemantics.org/gacs/C17290,- Nectar plants,http://aims.fao.org/aos/agrovoc/c_860
GACS-Crops-C422.csv,2,C422>C1772,C1772,http://id.agrisemantics.org/gacs/C1772,- Dye plants,http://aims.fao.org/aos/agrovoc/c_2422
GACS-Crops-C422.csv,3,C422>C1772>C29842,C29842,http://id.agrisemantics.org/gacs/C29842,- - Bixa orellana,http://aims.fao.org/aos/agrovoc/c_943
GACS-Crops-C422.csv,2,C422>C17911,C17911,http://id.agrisemantics.org/gacs/C17911,- Herbage crops,http://aims.fao.org/aos/agrovoc/c_28009
GACS-Crops-C422.csv,2,C422>C19801,C19801,http://id.agrisemantics.org/gacs/C19801,- Structural crops,http://aims.fao.org/aos/agrovoc/c_7464
GACS-Crops-C422.csv,2,C422>C20122,C20122,http://id.agrisemantics.org/gacs/C20122,- Catch crops,http://aims.fao.org/aos/agrovoc/c_29684
GACS-Crops-C422.csv,2,C422>C20147,C20147,http://id.agrisemantics.org/gacs/C20147,- Shade plants,http://aims.fao.org/aos/agrovoc/c_7019
GACS-Crops-C422.csv,3,C422>C20147>C20144,C20144,http://id.agrisemantics.org/gacs/C20144,- - Shade trees,http://aims.fao.org/aos/agrovoc/c_25548
GACS-Crops-C422.csv,2,C422>C20544,C20544,http://id.agrisemantics.org/gacs/C20544,- Tropical and subtropical crops,
GACS-Crops-C422.csv,3,C422>C20544>C4175,C4175,http://id.agrisemantics.org/gacs/C4175,- - Subtropical crops,
