vocabulary;uri;code;narrative
10;;FSC;
10;;Food Security and Livelihood;
10;;HEA;
10;;Health;
10;;PRO;
151;;15150;democratic participation and civil society
3;;410;
6;;;
6;;11;Increasing employment opportunities, income and participation in decision making for women and youths in the context of an emerging oil economy in Hoima and Buliisa districts in Uganda
6;;15100;Government and civil society, general, combination of activities
6;;15100;Government and civil society and general combination of activities
6;;15100 ;Government and civil society, general, combination of activities
6;;15150;Strengthening civil society
6;;15150;Strengthening Civil Society
6;;15200;Conflict prevention and resolution, peace and security, combinations of activities
6;;15200;
6;;15200;Conflict prevention and resolution, peace and security, combinations of activities.
6;;15200 ;Conflict prevention and resolution, peace and security, combinations of activities
6;;15200 ;- Conflict prevention and resolution, peace and security, combinations of activities
6;;15220;Civilian peace-building, conflict prevention and resolution (PH)
6;;15220;Civilian peace-building, conflict prevention and resolution
6;;15220;Conflict prevention and resolution, peace and security, combinations of activities
6;;15220 ;Civilian peace-building, conflict prevention and resolution
6;;40;GPAF-IMP-087 Increasing Employment opportunities, income and participation in decision making for women and youths in the context of an emerging oil economy in Hoima and Bulisa districts in Uganda
6;;5;Primary Education
6;;5;
6;;Agriculture;The project is implementing capacity building project in agriculture through this project
6;;Agriculture and women empowerment;
6;;Agriculture, HIV/AIDS Mainstreaming and women empowerment;
6;;Community engagement in post-conflict Mali;Community engagement in post-conflict Mali
6;;Conflict prevention and resolution, peace and security, combinations of activities;15200
6;;Government and civil society, general, combination of activities;15100
6;;Private Sector Development;"The programme will have three key outputs
•	Output 1: Improved policy and regulatory environment for MSE finance. The centre- piece of this activity will be the establishment of a ‘Policy Forum’ that brings together the main regulatory bodies, enabling institutions and private sector actors to discuss policy issues, consider the implications of evidence originating from research and improve coordination. 
•	Output 2: Increased access to appropriate, market based, business services for MSEs This intervention will use a challenge fund approach to encourage Business Development Service (BDS) providers & financial institutions (e.g. banks) to design innovative models to offer support services to MSEs that improve their ability to access finance. 
•	Output 3: Increased product, delivery channel, and business model innovation by banks and MFIs. This is a broader component looking at both banks and MFIs through two distinct instruments: the challenge fund and the credit guarantee fund."
6;;Third sector;
6;;Women Empowerment and Livelihood Security;The project aims to empower women as well as enhance their livelihood security
6;;text;
6;;text;"AURA is an action research programme aimed at strengthening the individual
and institutional capacities in up to nine African institutions to improve research
and teaching practices, research communications, and learning outcomes."
6;;text;GPAF-IMP-087 Increasing Employment opportunities, income and participation in decision making for women and youths in the context of an emerging oil economy in Hoima and Bulisa districts in Uganda
6;;text;Increasing employment opportunities, income and participation in decision making for women and youths in the context of an emerging oil economy in Hoima and Buliisa districts in Uganda
98;;;Fair shares in a constrained world
98;;;The right to essential services
98;;;Power to change institutions
98;;;EJ Trade
98;;;HIV-2 Advocacy/lobbying
98;;;HIV-3 Care & support
98;;;Equality for all
98;;;SL CAP Climate Change
98;;;SL Reducing vulnerability
98;;;SL-3 Climate Change
98;;;EJ - 1 Policy, Monitoring, Advocacy
98;;;SL-2 Humanitarian Response/DRR
98;;;Tackling violence building peace
98;;;AG Human rights, civil society space, conflict
98;;;AG-1 Participation
98;;;AG-4 Accountability - Transnationals
98;;;AG-6 Communicating Accountable Governance
98;;;Humanitarian Work
98;;;HIV-1 Prevention
98;;;SL-1 Basic Needs/Rights
98;;1;Agriculture
98;;10;Protection/Human Rights/Rule of Law
98;;11;Safety & Security
98;;12;Shelter and Non-Food Items
98;;13;Water and Sanitation
98;;2;Preparedness
98;;2;Coordination and Support Services
98;;3;Recovery
98;;3;Economic Recovery and Infrastructure
98;;4;Education
98;;6;Relief
98;;6;Food
98;;7;Health
98;;8;Prevention and mitigation
98;;8;Mine Action
98;;9;Multi Sector
98;;Health;
98;;Nutrition;
98;;WASH;
98;;Water and Sanitation ;Water and Sanitation programme
99;;;
99;;;Agriculture
99;;;Agriculture and livestock
99;;;Education
99;;;Low carbon development
99;;;Low Carbon Development
99;;;Forests
99;;;
99;; 00001;OtherAutre
99;; 00002;Food SecuritySécurité alimentaire
99;; 00003;Children and YouthEnfants et jeunes
99;; 00004;Sustainable Economic GrowthCroissance économique durable
99;; 00005;Advancing DemocracyFaire avance la démocratie
99;; 00006;Ensuring Security and StabilityAssurer la sécurité et la stabilité
99;;0;SP_NONE_APPLIES
99;;0;
99;;01;
99;;02;
99;;03;
99;;04;
99;;05;
99;;06;
99;;07;
99;;08;
99;;09;
99;;1;Inclusive & Sustainable Growth
99;;1;Agriculture
99;;1;Food
99;;10;Organizational Results Area 3
99;;10;Nutrition
99;;10;
99;;10;Safety and security of staff and operations
99;;1000;Peace and Security - General
99;;1001;Counter-Terrorism
99;;1002;Combating Weapons of Mass Destruction (WMD)
99;;1003;Stabilization Operations and Security Sector Reform
99;;1004;Counter-Narcotics
99;;1005;Transnational Crime
99;;1006;Conflict Mitigation and Reconciliation
99;;106;Advance for Q3-Q4 for Y1
99;;106;Test transfer to FHAM
99;;106;Y1 Q4 advance to TLMM
99;;106;Y2 Q1 advance TLMM
99;;106;Y2 Q1 advance FHAM
99;;106;DFID Y1 Q3 disbursement
99;;11;Organizational Results Area 4
99;;11;
99;;11;Mine action
99;;12;Organizational Results Area 5
99;;12;Mine Action
99;;12;
99;;12;Multi-sector
99;;12 different projects under PwC UK\'s control;12 different projects under PwC UK\'s control
99;;12182;
99;;13;Organizational Results Area 6
99;;13;Multi-sector
99;;13;
99;;14;Organizational Results Area 7
99;;14;Protection
99;;14;
99;;15;Organizational Results Area 8
99;;15;Human Rights
99;;15;
99;;15;Sector not yet specified
99;;15164;Women's equality organisations and institutions
99;;15164;
99;;157;Increasing level and security of household income for 1800 vulnerable households through the saving, lending and income generation capacity of the Mbare District (Zimbabwe)
99;;16;Organizational Results Area 9
99;;16;Safety and Security of Staff and Operations
99;;16;
99;;16;Y1 Q3 advance to TLMM
99;;168;-
99;;168;Hand in Hand Afghanistan
99;;168;
99;;17;
99;;17;Shelter
99;;18;Water, Sanitation and Hygiene
99;;183;
99;;183;Alleviating poverty among disabled people in western Nepal
99;;19;
99;;19;Livestock
99;;193;Evaluation Services
99;;193;Monitoring & Evaluation Services
99;;193;Research, Technical Assistance, and Grant Management
99;;2;Democratic Governance
99;;2;Camp Coordination and Camp Management
99;;2;Reducing violence in schools and at home and improving educational performance and attainment for vulnerable children in Upper West and Upper East Region (Ghana)
99;;2;Agriculture
99;;20;
99;;20;Sexual and/or Gender-Based Violence
99;;2000;Democracy, Human Rights, and Governance - General
99;;2001;Rule of Law and Human Rights
99;;2002;Good Governance
99;;2003;Political Competition and Consensus-Building
99;;2004;Civil Society
99;;21;
99;;22;Non-Food Items
99;;23;
99;;23;Common Safety and Security
99;;24;Capacity Strengthening for CSOs (general)
99;;24;Multi-sector refugee assistance
99;;24;
99;;25;
99;;25;Child Protection
99;;26;
99;;27;
99;;27;Animal Welfare
99;;28;
99;;3;Responsive Institutions
99;;3;Common Logistics
99;;3;Health
99;;3000;Health - General
99;;3001;HIV/AIDS
99;;3001;
99;;3002;Tuberculosis
99;;3003;Malaria
99;;3004;Pandemic Influenza and Other Emerging Threats (PIOET)
99;;3005;Other Public Health Threats
99;;3006;Maternal and Child Health
99;;3007;Family Planning and Reproductive Health
99;;3008;Water Supply and Sanitation
99;;3009;Nutrition
99;;31;
99;;31181;agricultural education and training
99;;32;
99;;33;
99;;34;
99;;35;
99;;36;
99;;37;
99;;39;
99;;4;Gender Equality
99;;4;Economic Recovery and Development
99;;4;Common Humanitarian Air Services
99;;4;Water and Sanitation
99;;40;
99;;4000;Education and Social Services - General
99;;4000;Unrestricted income
99;;4001;Basic Education
99;;4002;Higher Education
99;;4004;Social Services
99;;4005;Social Assistance
99;;41;
99;;4100;Hewlett Foundation
99;;4102;Hewlett Restricted Grant Strategy Development
99;;4104;Joffe JCT Grant
99;;42;
99;;4200;Open Society Foundation
99;;4210;Interaction (Agriculture)
99;;4220;Christian Aid
99;;43;
99;;4300;New Venture Fund
99;;4350;Indigo Trust
99;;4370;Omidyar
99;;44;
99;;44;Quarterly funds transfer
99;;45;
99;;4500;Consultancy
99;;46;
99;;47;
99;;48;
99;;4900;Bank Interest
99;;5;Climate Change & Disaster Resilience
99;;5;Common Telecommunications
99;;5;Shelter and non-food items
99;;50;
99;;5000;Economic Development - General
99;;5001;Macroeconomic Foundation for Growth
99;;5002;Trade and Investment
99;;5003;Financial Sector
99;;5004;Infrastructure
99;;5005;Agriculture
99;;5006;Private Sector Competitiveness
99;;5007;Economic Opportunity
99;;5009;Manufacturing
99;;51;
99;;55;DFID disbursement for project activities
99;;59;Disbursement direct to the project
99;;59;The project is working with 6000 women farmers infected and affected with HIV/AIDS in Blantyre District
99;;6;Crisis Prevention & Recovery
99;;6;Early Recovery
99;;6;Education
99;;6000;Environment - General
99;;6001;Environment
99;;6002;Natural Resources and Biodiversity
99;;6003;Clean Productive Environment
99;;61000;Salaries & Wages
99;;61050;Salary & Related Costs Recharges
99;;61060;HMRC Employment allowance
99;;61100;National Insurance
99;;61150;Pension
99;;61200;Temporary Staff & Interns
99;;61250;Non Salary Benefits
99;;61255;HR Support
99;;61300;Compensation Agreements
99;;61350;Recruitment Fees
99;;61400;Training Company Fees
99;;62000;Travel & Flights
99;;62050;Travel Road
99;;62100;Travel Train
99;;62150;Subsistence
99;;62200;Entertaining
99;;62250;Hotel
99;;62300;Other Travel Expenses
99;;62500;Event Venue Hire
99;;62550;Event Equipment Hire
99;;62600;Event Catering Costs
99;;62650;Event staffing Costs
99;;62700;Event Attendance Costs
99;;63000;Fundraising & Programme Development
99;;63050;Project Management & Supervision
99;;63100;Delivery
99;;63150;Monitoring & Evaluation
99;;63200;Legal Fees
99;;63250;Accounting Support Fees
99;;63300;Audit Fees
99;;63350;Other Professional Fees
99;;64000;Mobile Phones
99;;64050;Postage & Couriers
99;;64100;Other Communications Costs
99;;64150;Stationery
99;;65000;IT software subscriptions
99;;65025;Computer Equipement
99;;65050;IT Infrastructure Services
99;;65100;IT Technical Assistance
99;;65150;Web Development
99;;66000;Printing
99;;66050;Commissioned Output
99;;66100;Translation Services
99;;66150;Magazines & Books
99;;66200;Other Publications Expenses
99;;67000;Rent
99;;67025;Office Move
99;;67150;Utilities
99;;67200;Other Occupancy Costs
99;;69000;Bank Charges
99;;69050;Insurance
99;;69085;Misc Expenses
99;;7;Development Impact & Effectiveness
99;;7;Food Aid
99;;7;Education
99;;7;Protection/Human rights/Rule of law
99;;7000;Humanitarian Assistance - General
99;;7001;Protection, Assistance and Solutions
99;;7002;Disaster Readiness
99;;7003;Migration Management
99;;8;Organizational Results Area 1
99;;8;Health
99;;8;Food Aid
99;;8;Economic recovery and infrastructure
99;;8001;Direct Administrative Costs
99;;8002;Monitoring and Evaluation
99;;9;Organizational Results Area 2
99;;9;Health
99;;9;Coordination and support services
99;;9000;Multi-sector - Unspecified
99;;9001;International Contributions
99;;96;Agricultural development
99;;9998;Suspense Account
99;;AG;
