reporting-org;result;indicator
;Hygiene;people reached with hygiene related communication
;Hygiene;Persons who receive training/capacity building
;Sanitation;people use improved sanitation facilities
;Water;people reached
;hydroponic product lines for urban low income areas;product lines developed and positively tested and affordable
;Marketing plan feasible;marketing plan
;Marketing and sales strategies are assessed and proven;Number of customers acquired through social media strategy
;Marketing and sales strategies are assessed and proven;Number of customer acquired by SMS platform strategy
;Marketing and sales strategies are assessed and proven;Number of customers acquired through one-on-one presentations
;Tile producing installations operational;Tile producing installations operational
;Plastic roof tiles produced;A pilot production line producing tiles and manholes
;Reduced waste pollution in urban cities of Kenya;Reduced waste pollution by plastics and glass
;Youth informed about EnterWASH programme and WASH entrepreneurship in general;Nr. of people
;Youth informed about EnterWASH programme and WASH entrepreneurship in general;Direct user - youth
;Youth selected for the EnterWASH programme;Nr. of participants
;Organisations informed about EnterWASH and WASH entrepreneurship;Nr. of organisations
;Organisations informed about EnterWASH and WASH entrepreneurship;Direct user - organisation
;Youth trained on WASH entrepreneurship;Nr. of direct users
;Youth received business support;Nr. of people
;Organisations in the WASH enterprise support network;Nr. of organisations in the network
;WASH entrepreneurship package developed;WASH entrepreneurship package developed
;capacity gained;women trained on construction and maintenance
;Improved sanitation;Taps and sink for hand washing
;Improved sanitation;visitors and children of trainees use the toilets
;Improved sanitation;Toilet blocks of which one accessible for wheelchair
;Compost and urine used in school garden;
;1.1 NAWASSCO has paertnered with social enterprises;Suitable social enterprises identified
;1.1 NAWASSCO has paertnered with social enterprises;NAWASSCO production site operational
;2.1 Fecal matter products developed successfully;fecal matter products developed and tested
;2.1 Fecal matter products developed successfully;end products
;1.2 Sustainable business models developed;Number business plans developed
;1.2 Sustainable business models developed;ESIA conducted and approved by NEMA
;3.1 Fecal matter products certified;Certification by KEBS
;2.2 Production fecal matter products in operation;facilities set up and production process in operation
;3.2 Fecal matter products introduced to market;demnstration and awareness events
;3.2 Fecal matter products introduced to market;outlets selected for sales
;3.2 Fecal matter products introduced to market;product communications and promotion activities
;3. Fecal matter products for sale in Nakuru market;
;2. Social enterprises producing fecal matter and urine products at sizable scale;
;1. Financial and sustaianble business models in place for bio-fuel and bio-fertilizer production;
;knowledge, marketing and (after)sales capacity reaching 1000 people;
;A package of technology, processes/training and planting material, which is developed into a model that will bring higher profit to farmers and improved products to consumers;a package
;Increased percentage of women delivering with skilled birth attendance;% of deliveries attended by a skilled birth attendant
41122;;
41122;;Percentage of trainees in project sites  who received flip charts  reminders for providers and counselling cards developed within the R-MCH Promotion and Communication Project
41122;;Parents in Ukraine have correct knowledge  positive attitude and receive adequate information regarding MCH core issues from health professionals  who exhibit positive non-discriminatory attitudes towards disadvantaged and most vulnerable children and families
41122;;Status of the provision of prevention health services and counseling by Health Care professionals in accordance with the national quality standard (MoH Decree #149  152  MoH Decree on Vaccination Schedule)
41122;;Number of communication / promotion activities on R-MCH which received allocations from national or local budgets
41122;;National standards for parenting schools are developed and approved
41122;;Percentage of partner deliveries in project sites
41122;;Percentage of patients in project sites that encountered frontline health providers and were exposed to the reminders and flip books on Reproductive  Mother and Child Health (R-MCH) topics developed within the R-MCH Promotion and Communication Project
41122;;Number of national/regional level R-MCH communication strategy drafts developed and submitted to relevant national and regional level authorities
41122;;Percentage of the trained health professionals  who provide counselling of women and men of reproductive age  pregnant women and parents of children 0-3 in women consultations and primary health care facilities  following standard protocols and checklists for counselling in project sites
41122;;By 2015 % of two main minority groups are aware of available maternal and child health services and are able to access them
41122;;% of poorest quintile are aware of available maternal and child health services and are able to access them
41122;;% of MCH facilities/maternities applying approved WHO standards
41122;;Percentage of children 24-59 months dewormed at least once a year
41122;;Percentage of children 6-59 months who receive vitamin A twice/year
41122;;Percentage of children 24-59 months dewormed twice/year
41122;;Number of SAM 6-59 months children admitted in community/facility-based services
41122;;Percentage of children 6-59 months receiving vitamin A at least once a year
41122;;% of children with diarrhea treated with ORS and Zinc
41122;;% of household having knowledge on life-saving  care and protective behaviours for children and women
41122;;Number of health workers equipped with adequate knowledge and skills for effective  family counselling and social mobilisation
41122;;Number of innovations to improve health seeking behaviour  (i) introduced and (ii) scaled up
41122;;Number of village shuras ensuring 100% children immunized in their village
41122;;System for reviewing biannual vitamin A and deworming campaign in place
41122;;Monitoring of key milestones of Nutrition Policies and Strategies reflecting equity focused redistribution of service delivery and adequate resource allocation
41122;;Supply chain management system developed to avoid stock outs
41122;;Number of health facilities providing SAM treatment services
41122;;% of adolescent girls in target provinces receiving Weekly Iron Folic Acid Supplementation (WIFS) in  (a) ALCs and (b) other out-of-school children outreach programme
41122;;% of health facilities delivering nutrition services receiving at least one monitoring visit in six months
41122;;% of staff trained on nutrition data/information management
41122;;% of nutrition surveillance sites reporting on a regular basis
41122;;Provincial data on nutrition available on a periodic basis
41122;;# of children aged 24-59 months received two doses of deworming along with polio NID
41122;;% of mothers aware of importance of vitamin A and iodine
41122;;Number of health workers with adequate knowledge and skills for effective family counselling and social mobilisation
41122;;% of households using iodized salt
41122;;# of children aged 6-59 months received two doses of Vitamin A supplements along with polio NID
41122;;Proportion of acutely malnourished women of reproductive age
41122;;Proportion of infants breastfed within the first hour after delivery
41122;;% of pregnant women receiving Iron/Folate supplements
41122;;Proportion of sub-national units (in ASAL counties) reporting on nutrition programme data on a regular and timely basis.
41122;;Proportion of children 6-59 months receiving 2 doses of Vitamin A supplementation yearly
41122;;Coverage for treatment of severe acute malnutrition in ASAL counties
41122;;Number of counties with updated nutrition sector plans
41122;;Existence of a SAM management guidelines aligned with the latest WHO recommendations
41122;;Proportion of health facilities in ASAL counties providing SAM management services
41122;;Regulations for implementation of code on marketing of breast milk substitutes in place
41122;;High level SUN coordination structure
41122;;Proportion of target counties with multi-sectoral SUN stakeholder bodies
41122;;Financial tracking systems in place for nutrition specific programming at national level and in 8 select counties
41122;;Number (proportion) of children 6 to 23 months of age who receive 3 or more food groups per day(minimum dietary diversity)
41122;;Number (Proportion) of children 0-5 months exclusively breastfed.
41122;;Proportion of government funds allocated to nutrition in the health sector
41122;;Number of Women and Children focused Nutrition/Related Policies approved
41122;;% twice yearly coverage of vitamin A in children < 5 years (6-59 months).
41122;;Number (proportion) of pregnant women who took iron tablets or syrup for 90 days during pregnancy of the last birth
41122;;Number (proportion) of infants initiating breastfeeding within one hour of birth at health facilities.
41122;;Nombre de ZS disposant d'un plan triennal de développement sanitaire prenant en compte les orientations du PTD 2016-2018 (Post OMD)
41122;;Nombre de ZS formées sur le Monitoring Plus pour le suivi de la mise en ¿uvre des PIHI
41122;;Nombre de ZS ayant réalisé une revue de la performance assorti d'un Plan de Résolution des problèmes
41122;;Nombre de ZS disposant d'un plan triennal de développement sanitaire prenant en compte les orientations du PTD 2013-2015
41122;;Pourcentage de formations sanitaires ayant la capacité (formation  équipements) pour offrir la prise en charge de la malnutrition aigüe sévère
41122;;Pourcentage de formations sanitaires ayant la capacité (formation  équipements) pour offrir les activités de prévention de la malnutrition
41122;;Pourcentage de villages administratifs ayant des RC formés et équipés  pour le dépistage de la malnutrition
41122;;Pourcentage de villages administratifs ayant des RC formés et équipés  pour offrir les activités de prévention de la malnutrition
41122;;Proportion de nouveaux nés suivis à domicile pendant la première semaine de vie
41122;;Nombre de communes ayant les RC formés et équipés en Kits pour offrir le PIHI au niveau communautaire
41122;;Pourcentage de relais communautaires dont les performances ont été évaluées au moins 2 fois l'année
41122;;Nombre de réunions de coordination des acteurs en appui au Conseil d'Alimentation et de Nutrition
41122;;Proportion de ménages consommant du sel iodé
41122;;Proportion de filles et garçons ayant été mis au sein dans l'heure qui suit la naissance
41122;;Pourcentage d'enfants de 0-6 mois allaités exclusivement
41122;;Proportion de filles et garçons de 6 à 23 mois recevant un apport alimentaire minimum acceptable
